LEA Code,LEA Name,School Code,School Name,Total,PK3,PK4,Kindergarten ,1,2,3,4,5,6,7,8,9,10,11,12,Alternative Education,Adult Education ,SPED Level 1,SPED Level 2,SPED Level 3,SPED Level 4,ELL,At Risk ,SPED School 
109,CÅ_sar Châ€¡vez PCS for Public Policy,153,CÅ_sar Châ€¡vez PCS for Public Policy Ãê Capitol Hill,358,0,0,0,0,0,0,0,0,0,0,0,152,85,61,60,0,0,20,33,9,8,21,225,0
138,Paul PCS,170,Paul PCS Ãê Middle School,376,0,0,0,0,0,0,0,0,84,109,183,0,0,0,0,0,0,6,30,9,2,24,160,0
138,Paul PCS,222,Paul PCS Ãê International High School,325,0,0,0,0,0,0,0,0,0,0,0,129,123,73,0,0,0,9,25,7,1,24,159,0
181,District of Columbia International School,248,District of Columbia International School,210,0,0,0,0,0,0,0,0,118,92,0,0,0,0,0,0,0,8,18,13,1,26,44,0
160,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,528,48,54,77,76,106,65,55,47,0,0,0,0,0,0,0,0,0,15,4,11,0,31,22,0
156,Center City PCS,1107,Center City PCS Ãê Shaw,241,0,20,24,26,23,27,21,24,27,24,25,0,0,0,0,0,0,14,13,1,1,34,113,0
121,Hope Community PCS,114,Hope Community PCS Ãê Tolson,517,106,71,66,53,45,42,38,25,24,24,23,0,0,0,0,0,0,18,6,1,18,34,264,0
172,LAYC Career Academy PCS,104,LAYC Career Academy PCS,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,2,3,0,1,36,0,0
103,AppleTree Early Learning PCS,140,AppleTree Early Learning PCS Ãê Columbia Heights,163,94,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,37,58,0
108,Capital City PCS,182,Capital City PCS Ãê Middle School,320,0,0,0,0,0,0,0,78,80,82,80,0,0,0,0,0,0,6,32,12,6,38,111,0
119,Briya PCS,126,Briya PCS,492,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,3,1,0,1,50,20,0
108,Capital City PCS,1207,Capital City PCS Ãê High School,329,0,0,0,0,0,0,0,0,0,0,0,93,91,69,76,0,0,6,28,12,14,50,148,0
113,Community Academy PCS,106,Community Academy PCS Ãê  Amos 5,523,86,88,86,72,66,60,46,19,0,0,0,0,0,0,0,0,0,18,7,1,9,51,272,0
156,Center City PCS,1106,Center City PCS Ãê Petworth,262,0,20,28,29,30,24,26,30,26,24,25,0,0,0,0,0,0,13,6,0,0,53,97,0
116,E.L. Haynes PCS,146,E.L. Haynes PCS Ãê Middle School,377,0,0,0,0,0,0,0,76,101,99,101,0,0,0,0,0,0,14,21,28,14,54,157,0
156,Center City PCS,1103,Center City PCS Ãê Brightwood,248,0,23,26,28,26,26,26,28,27,19,19,0,0,0,0,0,0,18,7,1,0,55,80,0
144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS,350,40,36,45,49,48,48,42,42,0,0,0,0,0,0,0,0,0,20,5,0,1,63,62,0
116,E.L. Haynes PCS,1138,E.L. Haynes PCS Ãê High School,422,0,0,0,0,0,0,0,0,0,0,0,169,104,97,52,0,0,14,51,13,12,66,218,0
171,Mundo Verde Bilingual PCS,3065,Mundo Verde Bilingual PCS,404,32,52,88,88,77,67,0,0,0,0,0,0,0,0,0,0,0,18,2,0,2,84,57,0
113,Community Academy PCS,158,Community Academy PCS Ãê Amos 2,329,73,94,79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,86,193,0
109,CÅ_sar Châ€¡vez PCS for Public Policy,127,CÅ_sar Châ€¡vez PCS for Public Policy Ãê Châ€¡vez Prep,331,0,0,0,0,0,0,0,0,84,102,93,52,0,0,0,0,0,30,16,1,1,94,170,0
108,Capital City PCS,184,Capital City PCS Ãê Lower School,322,33,41,46,50,50,50,52,0,0,0,0,0,0,0,0,0,0,1,7,3,4,95,72,0
107,Bridges PCS,142,Bridges PCS,272,65,67,70,42,28,0,0,0,0,0,0,0,0,0,0,0,0,34,5,1,37,102,93,0
116,E.L. Haynes PCS,1206,E.L. Haynes PCS Ãê Elementary School,358,42,42,49,50,50,50,75,0,0,0,0,0,0,0,0,0,0,17,9,6,7,108,126,0
162,Carlos Rosario International PCS,1119,Carlos Rosario International PCS,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,0,0,0,0,113,0,0
130,Latin American Montessori Bilingual PCS,193,Latin American Montessori Bilingual PCS,342,47,62,60,53,43,27,32,18,0,0,0,0,0,0,0,0,0,19,13,3,3,129,40,0
135,Meridian PCS,165,Meridian PCS,639,49,64,80,70,68,62,66,49,55,39,37,0,0,0,0,0,0,70,6,0,1,176,294,0
114,DC Bilingual PCS,199,DC Bilingual PCS,364,44,48,47,45,44,35,42,59,0,0,0,0,0,0,0,0,0,34,10,1,11,180,130,0
145,The Next Step/El Prâ€”ximo Paso PCS,168,The Next Step/El Prâ€”ximo Paso PCS,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,4,5,1,3,203,0,0
113,Community Academy PCS,105,Community Academy PCS Ãê Amos 1,590,75,93,73,86,86,75,63,39,0,0,0,0,0,0,0,0,0,13,21,7,12,213,261,0
,,,Total,37684,3106,3319,3156,2878,2544,2201,1916,2003,2360,2100,2006,1915,1498,1326,1092,917,3095,1490,1485,605,826,2598,16601,252
