"Agency","School","SCHOOLCODE","Address","maxOccupancy","Enroll.Cap","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","LON","LAT","WARD","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Cleveland Elementary School",224,"1825 8th St  NW",320,320,"Full",2004,"ES",53000,"FULL MOD + ADD",20270264,0,20270264,-77.022707176,38.915144954,1,"Cardozo EC (6-8)","Cardozo EC (9-12)",308,47,137,36,0.444805194805195,0.116883116883117,0.152597402597403,172.077922077922,65812.5454545455,382.457811320755
"DCPS","Drew Elementary School",231,"5600 Eads St  NE",362,362,"Phase I",2010,"ES",72800,"PARTIAL MOD",4898637,0,4938279,-76.919927008,38.89599364,7,"Kelly Miller MS","Woodson HS",201,0,166,34,0.825870646766169,0.169154228855721,0,362.189054726368,24371.328358209,67.2889697802198
"DCPS","Eaton Elementary School",407,"3301 Lowell St  NW",415,415,"Phase 0",NA,"ES",49096,"STABILIZED",81414,15552000,15633414,-77.065821138,38.932726738,3,"","Eastern HS",257,2,161,63,0.626459143968872,0.245136186770428,0.00778210116731518,191.035019455253,316.785992217899,1.65826136548802
"DCPS","Garfield Elementary School",238,"2435 Alabama Ave  SE",365,365,"Phase 0",NA,"ES",58904,"STABILIZED",1082203,12583908,14338493,-76.970804777,38.851733042,8,"Johnson MS","Ballou HS",284,0,233,35,0.820422535211268,0.123239436619718,0,207.408450704225,3810.57394366197,18.3723176694282
"DCPS","Garrison Elementary School",239,"1200 S St  NW",356,356,"Phase 0",NA,"ES",60200,"STABILIZED",655646,2e+07,2.4e+07,-77.028612556,38.913900957,2,"Cardozo EC (6-8)","Cardozo EC (9-12)",244,35,117,40,0.479508196721311,0.163934426229508,0.14344262295082,246.72131147541,2687.0737704918,10.8911295681063
"DCPS","Hendley Elementary School",249,"425 Chesapeake St  SE",520,520,"Phase I",2013,"ES",73200,"PARTIAL MOD",15937127,0,16150915,-76.999184846,38.82898558,8,"Hart MS","Ballou HS",503,0,453,84,0.900596421471173,0.166998011928429,0,145.526838966203,31684.1491053678,217.72031420765
"DCPS","Houston Elementary School",251,"1100 50th Pl  NE",398,398,"Phase 0",NA,"ES",59896,"STABILIZED",1191032,15693000,16943000,-76.929947647,38.905414986,7,"Kelly Miller MS","Woodson HS",279,3,209,40,0.74910394265233,0.14336917562724,0.010752688172043,214.681003584229,4268.93189964158,19.8850006678242
"DCPS","Hyde-Addison Elementary School",252,"3219 O St  NW",330,330,"Phase I",2014,"ES",37504,"PARTIAL MOD",19157333,22284976,43519223,-77.064537819,38.908019234,2,"Hardy MS","Wilson HS",305,29,24,25,0.0786885245901639,0.0819672131147541,0.0950819672131148,122.96393442623,62810.9278688525,510.807727175768
"DCPS","J.O. Wilson Elementary School",339,"660 K Street NE",480,480,"Phase I",2010,"ES",98896,"PARTIAL MOD",4264356,0,4264356,-76.996589022,38.902757665,6,"Stuart-Hobson MS","Eastern HS",466,6,232,47,0.497854077253219,0.100858369098712,0.0128755364806867,212.223175965665,9150.97854077253,43.1196003882867
"DCPS","Janney Elementary School",254,"4130 Albemarle St  NW",700,700,"Full",2011,"ES",96083,"FULL MOD + ADD",37443325,0,37949758,-77.080994825,38.947550086,3,"Deal MS","Wilson HS",693,30,8,38,0.0115440115440115,0.0548340548340548,0.0432900432900433,138.647907647908,54030.772005772,389.697709272192
"DCPS","Ketcham Elementary School",257,"1919 15th St  SE",325,325,"Phase I",2012,"ES",88288,"PARTIAL MOD",8328691,0,8336451,-76.983621162,38.86604236,8,"Kramer MS","Anacostia HS",309,0,265,37,0.857605177993528,0.119741100323625,0,285.721682847896,26953.6925566343,94.3354816056542
"DCPS","Key Elementary School",272,"5001 Dana Pl  NW",364,408,"Full",2003,"ES",50000,"FULL MOD + ADD",13007488,0,13007488,-77.100527318,38.926801504,3,"Hardy MS","Wilson HS",383,28,12,27,0.031331592689295,0.0704960835509138,0.0731070496083551,130.548302872063,33962.1096605744,260.14976
"DCPS","Kimball Elementary School",259,"3375 Minnesota Ave  SE",398,398,"Phase 0",NA,"ES",83392,"STABILIZED",0,17696000,17696000,-76.957572707,38.883082756,7,"Sousa MS","Anacostia HS",348,0,268,48,0.770114942528736,0.137931034482759,0,239.632183908046,0,0
"DCPS","Lafayette Elementary School",261,"5701 Broad Branch Rd  NW",516,736,"Full",2015,"ES",113600,"FULL MOD + ADD",9939007,59373105,78650000,-77.068037122,38.96662722,4,"Deal MS","Wilson HS",697,21,19,47,0.0272596843615495,0.0674318507890961,0.03012912482066,162.984218077475,14259.6944045911,87.4912588028169
"DCPS","Langdon Education Campus",262,"1900 Evarts St  NE",500,500,"Phase I",2015,"ES",101392,"PARTIAL MOD",19828246,0,20824380,-76.977081855,38.924703828,5,"McKinley MS","Dunbar HS",340,17,191,56,0.561764705882353,0.164705882352941,0.05,298.211764705882,58318.3705882353,195.560261164589
"DCPS","Langley Education Campus",370,"101 T Street NE",530,530,"Phase II",2011,"ES",1e+05,"PARTIAL MOD",10253618,0,10273670,-77.005890393,38.915162564,5,"McKinley MS","Dunbar HS",289,7,186,28,0.643598615916955,0.0968858131487889,0.0242214532871972,346.020761245675,35479.6470588235,102.53618
"DCPS","Leckie Elementary School",266,"4201 M L  King Ave  SW",480,480,"Phase I",2012,"ES",65000,"PARTIAL MOD",595860,0,595860,-77.012891913,38.828196449,8,"Hart MS","Ballou HS",478,8,226,53,0.472803347280335,0.110878661087866,0.0167364016736402,135.983263598326,1246.5690376569,9.16707692307692
"DCPS","Ludlow-Taylor Elementary School",271,"659 G St  NE",362,362,"Phase I",2013,"ES",66896,"PARTIAL MOD",11489803,-1026290,11762825,-76.996492494,38.898743808,6,"Stuart-Hobson MS","Eastern HS",340,3,109,31,0.320588235294118,0.0911764705882353,0.00882352941176471,196.752941176471,33793.5382352941,171.756203659412
"DCPS","Mann Elementary School",273,"4430 Newark St NW",370,370,"Full",2015,"ES",60969,"FULL MOD + ADD",34565362,-5e+05,37197238,-77.087826194,38.934291971,3,"Hardy MS","Wilson HS",302,34,4,12,0.0132450331125828,0.0397350993377483,0.112582781456954,201.884105960265,114454.841059603,566.933392379734
"DCPS","Marie Reed Elementary School",284,"2201 18th St. NW",470,470,"Phase 0",NA,"ES",162688,"STABILIZED",2970097,54503000,64904196,-77.040529953,38.919167306,1,"Col Hts. Ed. Campus (6-8)","Cardozo EC (9-12)",393,189,143,41,0.363867684478371,0.104325699745547,0.480916030534351,413.964376590331,7557.49872773537,18.2563987509835
"DCPS","Maury Elementary School",274,"1250 Constitution Ave NE",300,388,"Phase I",2011,"ES",46800,"PARTIAL MOD",6444395,5044000,12620745,-76.988657501,38.89218486,6,"Eliot-Hine MS","Eastern HS",366,2,48,23,0.131147540983607,0.0628415300546448,0.00546448087431694,127.868852459016,17607.6366120219,137.700747863248
"DCPS","Moten Elementary School",285,"1565 Morris Rd SE",480,480,"Full",2012,"ES",99696,"FULL MOD",27716993,0,27856881,-76.982943653,38.856657189,8,"Kramer MS","Anacostia HS",395,0,348,65,0.881012658227848,0.164556962025316,0,252.394936708861,70169.6025316456,278.01509589151
"DCPS","Murch Elementary School",287,"4810 36th St  NW",488,774,"Phase 0",NA,"ES",47696,"STABILIZED",748083,63156000,68294774,-77.070079209,38.952933189,3,"Deal MS","Wilson HS",620,56,18,23,0.0290322580645161,0.0370967741935484,0.0903225806451613,76.9290322580645,1206.58548387097,15.6843970144247
"DCPS","Nalle Elementary School",288,"219 50th St  SE",400,400,"Phase I",2012,"ES",83900,"PARTIAL MOD",11521407,0,11570572,-76.930796505,38.885954084,7,"Kelly Miller MS","Woodson HS",384,6,295,45,0.768229166666667,0.1171875,0.015625,218.489583333333,30003.6640625,137.323087008343
"DCPS","Noyes Education Campus",290,"2725 10th St  NE",391,391,"Full",2004,"ES",51496,"FULL MOD + ADD",24719301,0,24719301,-76.991842884,38.925177646,5,"Brookland MS","Dunbar HS",289,11,182,44,0.629757785467128,0.152249134948097,0.0380622837370242,178.186851211073,85533.9134948097,480.023710579462
"DCPS","Old Miner",280,"601 15th St  NE",550,550,"Full",2003,"ES",76896,"FULL REPLACEMENT",6391359,0,6391359,-76.982904319,38.897375681,6,"Eliot-Hine MS","Eastern HS",398,7,296,66,0.743718592964824,0.165829145728643,0.0175879396984925,193.206030150754,16058.6909547739,83.1169241573034
"DCPS","Orr Elementary School",291,"2200 Minnesota Ave  SE",392,392,"Phase 0",NA,"ES",75900,"STABILIZED",0,41995000,44995000,-76.974484017,38.871796823,8,"Kramer MS","Anacostia HS",384,2,295,54,0.768229166666667,0.140625,0.00520833333333333,197.65625,0,0
"DCPS","Patterson Elementary School",294,"4399 South Capitol Terr  SW",382,382,"Full",2004,"ES",76896,"FULL REPLACEMENT",5365870,0,5365870,-77.008484709,38.826966026,8,"Hart MS","Ballou HS",380,1,323,44,0.85,0.115789473684211,0.00263157894736842,202.357894736842,14120.7105263158,69.7808728672493
"DCPS","Payne Elementary School",295,"1445 C St SE",348,348,"Full",2016,"ES",83792,"FULL MOD",22389213,27450,27815086,-76.984194914,38.885132314,6,"Eliot-Hine MS","Eastern HS",277,5,165,30,0.595667870036101,0.108303249097473,0.0180505415162455,302.498194945848,80827.4837545126,267.199887817453
"DCPS","Peabody Elementary School",301,"425 C St  NE",228,228,"Phase I",2013,"PK3-K",37800,"PARTIAL MOD",7028816,0,7099258,-76.999857987,38.892895991,6,"Stuart-Hobson MS","Eastern HS",227,4,16,10,0.0704845814977974,0.0440528634361234,0.0176211453744493,166.519823788546,30963.9471365639,185.947513227513
"DCPS","Plummer Elementary School",299,"4601 Texas Ave  SE",448,448,"Phase I",2014,"ES",69392,"PARTIAL MOD",13846933,26191,14299544,-76.939934676,38.887239863,7,"Sousa MS","Anacostia HS",428,24,354,54,0.827102803738318,0.126168224299065,0.0560747663551402,162.130841121495,32352.6471962617,199.546532741526
"DCPS","Powell Elementary School",300,"1350 Upshur St  NW",304,436,"Full",2016,"ES",76848,"FULL MOD + ADD",25490976,2504026,44744174,-77.031227422,38.941534009,4,"Col. Hts. EC (6-8)","Cardozo EC (6-12)",446,250,202,57,0.452914798206278,0.12780269058296,0.560538116591928,172.304932735426,57154.6547085202,331.706433479076
"DCPS","Raymond Education Campus",302,"915 Spring Rd  NW",615,615,"Phase 0",NA,"ES/MS",73600,"STABILIZED",0,19567000,19567000,-77.02643266,38.935810871,4,"","Roosevelt HS",581,245,308,96,0.530120481927711,0.165232358003442,0.421686746987952,126.678141135972,0,0
"DCPS","Ross Elementary School",305,"1730 R St  NW",176,176,"Phase I",2012,"ES",22400,"PARTIAL MOD",2604666,0,2612974,-77.039662145,38.912390814,2,"Cardozo EC (6-8)","Cardozo EC (9-12)",166,28,10,5,0.0602409638554217,0.0301204819277108,0.168674698795181,134.939759036145,15690.7590361446,116.279732142857
"DCPS","Savoy Elementary School",307,"2400 Shannon Pl SE",430,430,"Full",2009,"ES",86800,"FULL MOD + ADD",21059646,0,21059646,-76.993604261,38.862851652,8,"Kramer MS","Anacostia HS",408,4,333,51,0.816176470588235,0.125,0.00980392156862745,212.745098039216,51616.7794117647,242.622649769585
"DCPS","Seaton Elementary School",309,"1503 10th St  NW",325,325,"Phase I",2011,"ES",65000,"PARTIAL MOD",4298925,0,4302057,-77.024882467,38.910618362,6,"Cardozo EC (6-8)","Cardozo EC (9-12)",295,125,148,32,0.501694915254237,0.108474576271186,0.423728813559322,220.338983050847,14572.6271186441,66.1373076923077
"DCPS","Shepherd Elementary School",313,"7800 14th St  NW",400,400,"Phase I",2016,"ES",79696,"FULL MOD + ADD",20462934,1274389,31576280,-77.033995228,38.984602949,4,"Hardy MS","Wilson HS",318,6,59,39,0.185534591194969,0.122641509433962,0.0188679245283019,250.616352201258,64348.8490566038,256.762372013652
"DCPS","Simon Elementary School",315,"401 Mississippi Ave  SE",325,325,"Phase I",2012,"ES",66192,"PARTIAL MOD",8505311,0,8672620,-77.000194997,38.835980202,8,"Hart MS","Ballou HS",293,2,227,38,0.774744027303754,0.129692832764505,0.0068259385665529,225.911262798635,29028.3651877133,128.494546168721
"DCPS","Smothers Elementary School",322,"4400 Brooks St  NE",344,344,"Phase 0",NA,"ES",43000,"STABILIZED",152322,12679000,12831322,-76.938468639,38.893553701,7,"Kelly Miller MS","Woodson HS",275,6,203,30,0.738181818181818,0.109090909090909,0.0218181818181818,156.363636363636,553.898181818182,3.54237209302326
"DCPS","Stanton Elementary School",319,"2701 Naylor Rd  SE",586,586,"Full",2016,"ES",95000,"FULL MOD + ADD",23307939,2165644,36035000,-76.968490227,38.859271774,8,"Kramer MS","Anacostia HS",578,0,502,94,0.868512110726644,0.162629757785467,0,164.359861591696,40325.1539792388,245.346726315789
"DCPS","Stoddert Elementary School",321,"4001 Calvert St  NW",320,474,"Full",2010,"ES",65200,"FULL MOD + ADD",18707417,0,18707417,-77.079073796,38.923044313,3,"Hardy MS","Wilson HS",418,72,18,15,0.0430622009569378,0.0358851674641148,0.172248803827751,155.980861244019,44754.5861244019,286.923573619632
"DCPS","Takoma Education Campus",324,"7010 Piney Branch Rd  NW",450,450,"Full",2012,"ES/MS",118992,"FULL MOD",26979598,0,27036559,-77.022794928,38.975042541,4,"","Coolidge HS",442,113,189,70,0.427601809954751,0.158371040723982,0.255656108597285,269.212669683258,61039.814479638,226.734553583434
"DCPS","Thomas Elementary School",325,"650 Anacostia Ave NE",474,474,"Phase I",2013,"ES",87600,"PARTIAL MOD",7563320,0,7572071,-76.952110911,38.901278637,7,"Kelly Miller MS","Woodson HS",408,6,295,44,0.723039215686274,0.107843137254902,0.0147058823529412,214.705882352941,18537.5490196078,86.3392694063927
"DCPS","Thomson Elementary School",326,"1200 L St  NW",320,320,"Full",2006,"ES",74992,"FULL MOD + ADD",25521091,0,25521091,-77.028430033,38.903496003,2,"Jefferson Acad. MS","Eastern HS",272,141,124,40,0.455882352941176,0.147058823529412,0.518382352941177,275.705882352941,93827.5404411765,340.317513868146
"DCPS","Truesdell Education Campus",327,"800 Ingraham St  NW",542,542,"Phase I",2010,"ES/MS",69600,"PARTIAL MOD",4465045,7489000,11954045,-77.025071576,38.953968357,4,"","Roosevelt HS",526,239,290,104,0.551330798479088,0.197718631178707,0.454372623574144,132.319391634981,8488.67870722434,64.1529454022989
"DCPS","Tubman Elementary School",328,"3101 13th St  NW",500,500,"Phase I",2009,"ES",66592,"PARTIAL MOD",3644743,0,3644743,-77.029443298,38.929198235,1,"Col. Hts. EC (6-8)","Cardozo EC (9-12)",498,167,302,69,0.606425702811245,0.13855421686747,0.335341365461847,133.718875502008,7318.76104417671,54.7324453387794
"DCPS","Turner Elementary School",329,"3264 Stanton Rd SE",530,530,"Full",2013,"ES",101093,"FULL MOD + ADD",27580545,0,27695424,-76.980309925,38.847634942,8,"Johnson MS","Ballou HS",392,0,333,52,0.849489795918367,0.13265306122449,0,257.890306122449,70358.5331632653,272.823489262362
"DCPS","Tyler Elementary School",330,"1001 G St  SE",564,564,"Phase I",2010,"ES",69600,"PARTIAL MOD",3750929,0,3750929,-76.992041663,38.881084023,6,"Jefferson Acad. MS","Eastern HS",522,9,239,74,0.457854406130268,0.14176245210728,0.0172413793103448,133.333333333333,7185.6877394636,53.892658045977
"DCPS","Walker-Jones Education Campus",332,"1125 New Jersey Ave NW",700,700,"Full",2009,"ES/MS",95000,"FULL REPLACEMENT",40442253,0,40442253,-77.01391586,38.904191757,6,"","Dunbar HS",465,8,348,124,0.748387096774194,0.266666666666667,0.0172043010752688,204.301075268817,86972.5870967742,425.707926315789
"DCPS","Watkins Elementary School",333,"420 12th St  SE",587,587,"Phase 0",NA,"ES",69296,"STABILIZED",2675972,30313978,39400200,-76.989996769,38.883466674,6,"Stuart-Hobson MS","Eastern HS",500,4,98,45,0.196,0.09,0.008,138.592,5351.944,38.6165435234357
"DCPS","Wheatley Education Campus",335,"1299 Neal St NE",500,500,"Full",2009,"ES/MS",86368,"FULL MOD + ADD",42645563,0,42645768,-76.988500771,38.90411741,5,"","Dunbar HS",463,7,364,91,0.786177105831533,0.196544276457883,0.0151187904967603,186.539956803456,92107.0475161987,493.765781307892
"DCPS","Whittier Education Campus",338,"6201 5th St  NW",520,520,"Phase I",2013,"ES/MS",71092,"PARTIAL MOD + ADD",5208611,0,5241031,-77.019238602,38.965856939,4,"","Coolidge HS",350,38,214,74,0.611428571428571,0.211428571428571,0.108571428571429,203.12,14881.7457142857,73.265782366511
"DCPS","Hearst Elementary School",258,"3950 37th St  NW",330,330,"Full",2015,"ES",62309,"FULL MOD + ADD",35678706,361277,43433519,-77.071955219,38.940722313,3,"Deal MS","Wilson HS",291,28,39,25,0.134020618556701,0.0859106529209622,0.0962199312714777,214.120274914089,122607.237113402,572.609189683673
"DCPS","West Education Campus",336,"1338 Farragut St  NW",278,278,"Phase 0",NA,"ES/MS",69642,"STABILIZED",0,35095000,35095000,-77.032253056,38.95136708,4,"","Roosevelt HS",267,27,112,44,0.419475655430712,0.164794007490637,0.101123595505618,260.831460674157,0,0
"DCPS","Van Ness ES",331,NA,NA,NA,"Full",2016,"ES",49400,"FULL MOD + ADD",10556642,17995000,32448396,-76.99914,38.87675,6,"Jefferson Acad. MS","Eastern HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,213.697206477733
"DCPS","Amidon-Bowen Elementary School",203,"401 Eye St  SW",400,400,"Phase I",2012,"ES",70800,"PARTIAL MOD",5993305,0,5993305,-77.018125299,38.879515067,6,"Jefferson Acad. MS","Eastern HS",345,6,254,90,0.736231884057971,0.260869565217391,0.0173913043478261,205.217391304348,17371.8985507246,84.6512005649717
"DCPS","Anacostia High School",450,"1601 16th St  SE",837,837,"Full",2012,"HS",204992,"FULL MOD",68228069,0,68860993,-76.983077254,38.870083725,8,"","",661,0,586,186,0.886535552193646,0.281391830559758,0,310.124054462935,103219.468986384,332.83283737902
"DCPS","Coolidge High School",455,"6315 5th St  NW",1105,1105,"Phase 0",NA,"HS",271300,"STABILIZED",2537691,116633000,122176717,-77.019578251,38.967284215,4,"","",395,50,301,104,0.762025316455696,0.263291139240506,0.126582278481013,686.835443037975,6424.53417721519,9.35381865093992
"DCPS","Deal Middle School",405,"3815 Fort Dr  NW",1370,1570,"Full",2014,"MS",223689,"FULL MOD + ADD",73524856,0,74154641,-77.075199068,38.952896407,3,"","Wilson HS",1312,47,99,166,0.0754573170731707,0.126524390243902,0.0358231707317073,170.494664634146,56040.2865853659,328.692318352713
"DCPS","Eastern High School",457,"1700 East Capitol St NE",1100,1100,"Full",2010,"HS",310721,"FULL MOD",74502874,0,74503071,-76.979684293,38.890402328,6,"","",1025,3,714,296,0.696585365853658,0.288780487804878,0.00292682926829268,303.14243902439,72685.7307317073,239.774183270522
"DCPS","Eliot-Hine Middle School",407,"1830 Constitution Ave  NE",742,742,"Phase 0",NA,"MS",155072,"STABILIZED",210957,40911043,42653975,-76.978977919,38.892431159,6,"","Eastern HS",257,2,161,63,0.626459143968872,0.245136186770428,0.00778210116731518,603.392996108949,820.844357976654,1.36038098431696
"DCPS","Ellington School of the Arts",471,"2501 11th St NW",NA,NA,"Full",2017,"HS",167500,"FULL MOD + ADD",34081441,61688778,180437856,-77.070307568,38.913446043,2,"","",523,5,175,25,0.334608030592734,0.0478011472275335,0.00956022944550669,320.267686424474,65165.2791586998,203.471289552239
"DCPS","Francis-Stevens Education Campus",409,"2425 N St  NW",437,437,"Phase 0",NA,"ES/MS",95088,"STABILIZED",1314689,20178000,22278000,-77.052320997,38.907469168,2,"","Cardozo EC (9-12)",414,25,109,58,0.263285024154589,0.140096618357488,0.0603864734299517,229.68115942029,3175.57729468599,13.8260243143194
"DCPS","H.D. Cooke Elementary School",227,"2525 17th St NW",440,440,"Full",2009,"ES",85696,"FULL MOD + ADD",32500688,0,32500688,-77.038810584,38.923942751,1,"CHEC (6-8)","Cardozo EC (9-12)",400,164,215,42,0.5375,0.105,0.41,214.24,81251.72,379.255601194922
"DCPS","Hardy Middle School",246,"1819 35th St  NW",485,485,"Full",2008,"MS",107200,"FULL MOD + ADD",50758871,0,50758871,-77.068613896,38.915508698,2,"","Wilson HS",386,18,96,62,0.248704663212435,0.160621761658031,0.0466321243523316,277.720207253886,131499.665803109,473.496930970149
"DCPS","Hart Middle School",413,"601 Mississippi Ave  SE",912,912,"Phase I",2011,"MS",210700,"PARTIAL MOD",13075759,0,13214760,-76.997178747,38.837737537,8,NA,"Ballou HS",479,0,393,128,0.820459290187891,0.267223382045929,0,439.874739039666,27298.0354906054,62.0586568580921
"DCPS","Jefferson Middle School",433,"801 7th St SW",570,570,"Phase 0",NA,"MS",108992,"STABILIZED",0,35993000,35993000,-77.02291066,38.879870599,6,"","Eastern HS",277,3,179,67,0.646209386281588,0.24187725631769,0.0108303249097473,393.472924187726,0,0
"DCPS","Kelly Miller Middle School",421,"301 49th St  NE",600,720,"Full",2004,"MS",114992,"FULL REPLACEMENT",10614880,0,10614880,-76.932455065,38.893315031,7,"","HD Woodson HS",546,7,382,146,0.6996336996337,0.267399267399267,0.0128205128205128,210.608058608059,19441.1721611722,92.3097258939752
"DCPS","King Elementary School",344,"3200 6th St  SE",444,444,"Phase 0",NA,"ES",65496,"STABILIZED",4118755,372458,6567738,-76.998238991,38.842442852,8,"Hart MS","Ballou HS",372,2,327,55,0.879032258064516,0.147849462365591,0.00537634408602151,176.064516129032,11071.9220430108,62.8855960669354
"DCPS","Kramer Middle School",417,"1700 Q St  SE",600,600,"Phase I",2014,"MS",153984,"PARTIAL MOD",30951777,0,35059047,-76.980171305,38.87128607,8,NA,"Anacostia HS",333,0,267,110,0.801801801801802,0.33033033033033,0,462.414414414414,92948.2792792793,201.006448721945
"DCPS","LaSalle-Backus Education Campus",264,"501 Riggs Road NE",400,400,"Phase I",2012,"ES/MS",63000,"PARTIAL MOD",14206295,0,14545500,-76.999882544,38.959971809,4,"","Coolidge HS",349,106,183,50,0.524355300859599,0.143266475644699,0.303724928366762,180.515759312321,40705.7163323782,225.496746031746
"DCPS","Phelps Architecture, Construction, and Engineering High School",478,"704 26th Street NE",512,512,"Full",2008,"HS",146976,"FULL MOD + ADD",0,0,NA,-76.971897631,38.901991687,5,"","",323,9,166,42,0.513931888544892,0.130030959752322,0.0278637770897833,455.034055727554,0,0
"DCPS","School Without Walls High School",466,"2130 G St NW",520,520,"Full",2009,"HS",74000,"FULL MOD + ADD",0,0,NA,-77.048186466,38.898123787,2,"","",590,0,91,4,0.154237288135593,0.00677966101694915,0,125.423728813559,0,0
"DCPS","Sousa Middle School",427,"3650 Ely Pl SE",636,636,"Full",2008,"MS",136000,"FULL MOD",0,0,NA,-76.953158845,38.883894076,7,NA,"Anacostia HS",284,0,209,82,0.735915492957746,0.288732394366197,0,478.87323943662,0,0
"DCPS","Wilson High School",463,"3950 Chesapeake St NW",1700,1700,"Full",2011,"HS",376448,"FULL MOD + ADD",114246156,0,114320882,-77.077775201,38.950155808,3,"","",1788,106,550,263,0.307606263982103,0.147091722595078,0.0592841163310962,210.541387024608,63896.0604026846,303.484560948657
"DCPS","Bruce-Monroe Elementary School @ Park View",296,"3560 Warder St  NW",609,609,"Phase I",2012,"ES",82192,"PARTIAL MOD",11264300,0,17026865,-77.021185666,38.934413761,1,"CHEC (6-8)","Cardozo EC (9-12)",465,290,235,56,0.505376344086022,0.120430107526882,0.623655913978495,176.756989247312,24224.3010752688,137.048617870352
"DCPS","Columbia Heights Education Campus",442,"3101 16th St  NW",1400,1400,"Full",2006,"MS/HS",325218,"FULL REPLACEMENT",78652173,0,78652173,-77.035858309,38.929544434,1,"","Cardozo HS (9-12)",1384,429,744,153,0.53757225433526,0.110549132947977,0.309971098265896,234.984104046243,56829.6047687861,241.844464328543
"DCPS","John Hayden Johnson Middle School",416,"1400 Bruce Pl  SE",730,730,"Phase I",2013,"MS",182496,"PARTIAL MOD",18602234,-5857,20521528,-76.983703681,38.851336572,8,NA,"Ballou HS",291,3,229,103,0.786941580756014,0.353951890034364,0.0103092783505155,627.134020618557,63925.2027491409,101.932283447308
