"SchoolCode","School","Address","maxOccupancy","totalSQFT","Latitude","Longitude","Ward","Feeder","Level","TotalExp9815","TotalAllot1621","LifetimeBudget","Agency","Total.Enrolled","Limited.English.Proficient","Level.1","Level.2","Level.3","Level.4","At_Risk","SPED","AtRiskPer","SPEDPer","SqFtPerEnroll","LTBudgetPerEnroll","LTBudgetPerSqFt","ESLPer"
"284","Marie Reed Elementary School","2201 18th St. NW",470,155117,"38.919167306","-77.040529953","1","3","Mixed",2970097,54503000,64904196,"DCPS","393","189","33","4","0","0","143",37,0.363867684478371,0.094147582697201,394.699745547074,165150.625954198,418.420908088733,0.480916030534351
"274","Maury Elementary School","1250 Constitution Ave NE",300,48128,"38.89218486","-76.988657501","6","5","Mixed",6444395,5044000,12620745,"DCPS","366","2","19","2","0","1","48",22,0.131147540983607,0.0601092896174863,131.497267759563,34482.9098360656,262.232899767287,0.00546448087431694
"285","Moten Elementary School","1565 Morris Rd SE",480,97094,"38.856657189","-76.982943653","8","4","Mixed",27716993,0,27856881,"DCPS","395","0","30","17","1","6","348",54,0.881012658227848,0.136708860759494,245.807594936709,70523.7493670886,286.906307289843,0
"287","Murch Elementary School","4810 36th St  NW",488,53673,"38.952933189","-77.070079209","3","1","Mixed",748083,63156000,68294774,"DCPS","620","56","17","3","0","2","18",22,0.0290322580645161,0.0354838709677419,86.5693548387097,110152.861290323,1272.42326681944,0.0903225806451613
"288","Nalle Elementary School","219 50th St  SE",400,65418,"38.885954084","-76.930796505","7","2","Mixed",11521407,0,11570572,"DCPS","384","6","21","11","2","2","295",36,0.768229166666667,0.09375,170.359375,30131.6979166667,176.871380965483,0.015625
"280","Old Miner","601 15th St  NE",550,18123,"38.897375681","-76.982904319","6","5","Mixed",6391359,0,6391359,"DCPS","398","7","19","22","3","19","296",63,0.743718592964824,0.158291457286432,45.535175879397,16058.6909547739,352.66561827512,0.0175879396984925
"291","Orr Elementary School","2200 Minnesota Ave  SE",392,62947,"38.871796823","-76.974484017","8","5","Mixed",0,41995000,44995000,"DCPS","384","2","38","8","0","0","295",46,0.768229166666667,0.119791666666667,163.924479166667,117174.479166667,714.807695362765,0.00520833333333333
"294","Patterson Elementary School","4399 South Capitol Terr  SW",382,81741,"38.826966026","-77.008484709","8","3","Mixed",5365870,0,5365870,"DCPS","380","1","21","10","3","26","323",60,0.85,0.157894736842105,215.107894736842,14120.7105263158,65.6447804651277,0.00263157894736842
"295","Payne Elementary School","1445 C St SE",348,61493,"38.885132314","-76.984194914","6","2","Mixed",22389213,27450,27815086,"DCPS","277","5","13","8","1","20","165",42,0.595667870036101,0.151624548736462,221.996389891697,100415.472924188,452.329305774641,0.0180505415162455
"301","Peabody Elementary School","425 C St  NE",228,35391,"38.892895991","-76.999857987","6","2","Elementary",7028816,0,7099258,"DCPS","227","4","10","0","0","0","16",10,0.0704845814977974,0.0440528634361234,155.907488986784,31274.2643171806,200.595010030799,0.0176211453744493
"299","Plummer Elementary School","4601 Texas Ave  SE",448,66032,"38.887239863","-76.939934676","7","1","Mixed",13846933,26191,14299544,"DCPS","428","24","27","13","1","18","354",59,0.827102803738318,0.13785046728972,154.280373831776,33410.1495327103,216.554761327841,0.0560747663551402
"300","Powell Elementary School","1350 Upshur St  NW",304,62970,"38.941534009","-77.031227422","4","3","Mixed",25490976,2504026,44744174,"DCPS","446","250","45","5","2","0","202",52,0.452914798206278,0.116591928251121,141.188340807175,100323.260089686,710.563347625854,0.560538116591928
"302","Raymond Education Campus","915 Spring Rd  NW",615,65306,"38.935810871","-77.02643266","4","6","Mixed",0,19567000,19567000,"DCPS","581","245","76","9","2","1","308",88,0.530120481927711,0.151462994836489,112.402753872633,33678.1411359725,299.620249287967,0.421686746987952
"305","Ross Elementary School","1730 R St  NW",176,20270,"38.912390814","-77.039662145","2","4","Mixed",2604666,0,2612974,"DCPS","166","28","5","0","0","0","10",5,0.0602409638554217,0.0301204819277108,122.10843373494,15740.8072289157,128.908436112481,0.168674698795181
"307","Savoy Elementary School","2400 Shannon Pl SE",430,73483,"38.862851652","-76.993604261","8","1","Mixed",21059646,0,21059646,"DCPS","408","4","24","13","1","1","333",39,0.816176470588235,0.0955882352941176,180.105392156863,51616.7794117647,286.592082522488,0.00980392156862745
"466","School Without Walls High School","2130 G St NW",520,60334,"38.898123787","-77.048186466","2","9","High",0,0,NA,"DCPS","590","0","4","0","0","0","91",4,0.154237288135593,0.00677966101694915,102.261016949153,NA,NA,0
"309","Seaton Elementary School","1503 10th St  NW",325,66624,"38.910618362","-77.024882467","6","4","Mixed",4298925,0,4302057,"DCPS","295","125","13","9","1","22","148",45,0.501694915254237,0.152542372881356,225.84406779661,14583.2440677966,64.5721811959654,0.423728813559322
"313","Shepherd Elementary School","7800 14th St  NW",400,47363,"38.984602949","-77.033995228","4","1","Mixed",20462934,1274389,31576280,"DCPS","318","6","14","12","1","1","59",28,0.185534591194969,0.0880503144654088,148.940251572327,99296.4779874214,666.686654139307,0.0188679245283019
"315","Simon Elementary School","401 Mississippi Ave  SE",325,59891,"38.835980202","-77.000194997","8","4","Mixed",8505311,0,8672620,"DCPS","293","2","22","7","2","1","227",32,0.774744027303754,0.109215017064846,204.40614334471,29599.385665529,144.806732230218,0.0068259385665529
"322","Smothers Elementary School","4400 Brooks St  NE",344,40746,"38.893553701","-76.938468639","7","5","Mixed",152322,12679000,12831322,"DCPS","275","6","16","7","0","15","203",38,0.738181818181818,0.138181818181818,148.167272727273,46659.3527272727,314.909978893634,0.0218181818181818
"427","Sousa Middle School","3650 Ely Pl SE",636,114073,"38.883894076","-76.953158845","7","7","Elementary",0,0,NA,"DCPS","284","0","22","26","8","9","209",65,0.735915492957746,0.22887323943662,401.665492957746,NA,NA,0
"319","Stanton Elementary School","2701 Naylor Rd  SE",586,55342,"38.859271774","-76.968490227","8","2","Mixed",23307939,2165644,36035000,"DCPS","578","0","57","17","3","0","502",77,0.868512110726644,0.133217993079585,95.7474048442907,62344.2906574394,651.132955079325,0
