"SCHOOLCODE","Level","Address","maxOccupancy","totalSQFT","Total.Enrolled","School","Limited.English.Proficient","At_Risk","SPED","latitude","longitude","Ward","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType"
160,"HS","1851 9th Street NW","347",29300,171,"Hospitality High School",14,130,58,38.91536518,-77.02364411,"1",NA,NA,NA,"PCS",0.760233918128655,0.339181286549708,0.0818713450292398,171.345029239766,NA,NA,NA,NA,NA,NA,NA
1047,"SPED","1901 Independence Avenue, SE","525",99540,252,"St. Coletta Special Education PCS",20,111,251,38.88721683,-76.97667492,"7",NA,NA,NA,"PCS",0.44047619047619,0.996031746031746,0.0793650793650794,395,NA,NA,NA,NA,NA,NA,NA
178,"HS","1920 Bladensburg Road, NE","420",49116,335,"Washington Math Science Tech PCS",3,222,72,38.91641842,-76.97378958,"5",NA,NA,NA,"PCS",0.662686567164179,0.214925373134328,0.00895522388059702,146.614925373134,NA,NA,NA,NA,NA,NA,NA
3064,"ES/MS","200 Douglas Street, NE","620",40800,317,"Inspired Teaching Demonstration PCS",14,35,34,38.92008577,-77.03079817,"1",NA,NA,NA,"PCS",0.110410094637224,0.107255520504732,0.0441640378548896,128.706624605678,NA,NA,NA,NA,NA,NA,NA
165,"ES/MS","2120 13th Street, NW","718",61900,639,"Meridian PCS",176,294,77,38.91874942,-77.02995351,"1",NA,NA,NA,"PCS",0.460093896713615,0.120500782472613,0.275430359937402,96.8701095461659,NA,NA,NA,NA,NA,NA,NA
1105,"ES/MS","220 Highview Place, SE","341",27000,257,"Center City Congress Heights Campus PCS",0,172,19,38.84158668,-77.00444463,"8",NA,NA,NA,"PCS",0.669260700389105,0.0739299610894942,0,105.058365758755,NA,NA,NA,NA,NA,NA,NA
1117,"ES","220 Taylor Street, NE","610",41118,528,"Washington Yu Ying PCS",31,22,30,38.94123488,-77.00368216,"5",NA,NA,NA,"PCS",0.0416666666666667,0.0568181818181818,0.0587121212121212,77.875,NA,NA,NA,NA,NA,NA,NA
183,"ES/MS","2315 18th Place, NE"," 	1,393 ",28076,286,"Tree of Life Community PCS",2,185,25,38.9207792,-76.97783843,"5",NA,NA,NA,"PCS",0.646853146853147,0.0874125874125874,0.00699300699300699,98.1678321678322,NA,NA,NA,NA,NA,NA,NA
216,"ADULT","2405 Martin Luther King Jr. Avenue, SE","155",11000,273,"Community College Preparatory Academy PCS",0,0,1,38.86275176,-76.99262996,"8",NA,NA,NA,"PCS",0,0.00366300366300366,0,40.2930402930403,NA,NA,NA,NA,NA,NA,NA
191,"HS","2427 Martin Luther King Jr. Avenue, SE","416",63625,395,"Thurgood Marshall Academy PCS",0,216,50,38.86227707,-76.99368577,"8",NA,NA,NA,"PCS",0.546835443037975,0.126582278481013,0,161.075949367089,NA,NA,NA,NA,NA,NA,NA
1113,"ES","2501 Martin Luther King Jr. Avenue, SE"," 	1,292 ",67508,569,"Excel Academy PCS",0,366,23,38.85976209,-76.99535457,"8",NA,NA,NA,"PCS",0.64323374340949,0.0404217926186292,0,118.643233743409,NA,NA,NA,NA,NA,NA,NA
1211,"MS","2502 Martin Luther King Jr. Avenue, SE","",19288,155,"Excel Academy PCS LEAD",0,100,27,NA,NA,NA,NA,NA,NA,"PCS",0.645161290322581,0.174193548387097,0,124.438709677419,NA,NA,NA,NA,NA,NA,NA
116,"MS","2600 Douglass Place, SE"," 	1,900 ",43362,321,"KIPP DC AIM PCS Academy PCS",1,189,74,38.85662232,-76.98804884,"8",NA,NA,NA,"PCS",0.588785046728972,0.230529595015576,0.00311526479750779,135.084112149533,NA,NA,NA,NA,NA,NA,NA
1122,"PK3-K","2600 Douglass Place, SE","",44578,330,"KIPP DC Discover PCS",0,203,22,38.85662232,-76.98804884,"8",NA,NA,NA,"PCS",0.615151515151515,0.0666666666666667,0,135.084848484848,NA,NA,NA,NA,NA,NA,NA
3071,"ES","2600 Douglass Place, SE","",56060,415,"KIPP DC Heights Academy PCS",0,229,57,38.85662232,-76.98804884,"8",NA,NA,NA,"PCS",0.551807228915663,0.137349397590361,0,135.084337349398,NA,NA,NA,NA,NA,NA,NA
140,"PK3-K","2750 14th Street, NW ","188",12204,163,"AppleTree Early Learning Center PCS Columbia Heights",37,58,10,38.92524403,-77.03274382,"1",NA,NA,NA,"PCS",0.355828220858896,0.0613496932515337,0.226993865030675,74.8711656441718,NA,NA,NA,NA,NA,NA,NA
114,"ES/MS","2917 8th Street, NE","540",33571,517,"Hope Community PCS Tolson Campus",34,264,43,38.9269508,-76.99461626,"5",NA,NA,NA,"PCS",0.51063829787234,0.0831721470019342,0.0657640232108317,64.9342359767892,NA,NA,NA,NA,NA,NA,NA
365,"ES","2959 Carlton Avenue, NE","600",37000,284,"Friendship PCS Woodridge Elementary",8,127,12,38.92954664,-76.9665146,"5",NA,NA,NA,"PCS",0.447183098591549,0.0422535211267606,0.028169014084507,130.281690140845,NA,NA,NA,NA,NA,NA,NA
366,"MS","2960 Carlton Avenue, NE","",0,168,"Friendship PCS Woodridge Middle",1,75,35,38.92954664,-76.9665146,"5",NA,NA,NA,"PCS",0.446428571428571,0.208333333333333,0.00595238095238095,0,NA,NA,NA,NA,NA,NA,NA
3065,"ES","30 P Street, NW","897",36148,404,"Mundo Verde Bilingual PCS",84,57,22,38.93131343,-77.03681,"1",NA,NA,NA,"PCS",0.141089108910891,0.0544554455445545,0.207920792079208,89.4752475247525,NA,NA,NA,NA,NA,NA,NA
228,"ES","301 Douglas Street, NE","162",13200,74,"Lee Montessori PCS",0,10,5,NA,NA,NA,NA,NA,NA,"PCS",0.135135135135135,0.0675675675675676,0,178.378378378378,NA,NA,NA,NA,NA,NA,NA
128,"ALT","3014 14th St NW","100",11709,112,"Youthbuild PCS",7,0,10,38.92774375,-77.03275327,"1",NA,NA,NA,"PCS",0,0.0892857142857143,0.0625,104.544642857143,NA,NA,NA,NA,NA,NA,NA
104,"ALT","3047 15th Street, NW","225",16097,190,"Latin American Youth Center Career Academy",36,0,6,38.92851269,-77.0358413,"1",NA,NA,NA,"PCS",0,0.0315789473684211,0.189473684210526,84.7210526315789,NA,NA,NA,NA,NA,NA,NA
168,"ALT","3047 15th Street, NW","375",30755,363,"The Next Step PCS",203,0,13,38.92851269,-77.0358413,"1",NA,NA,NA,"PCS",0,0.0358126721763085,0.559228650137741,84.7245179063361,NA,NA,NA,NA,NA,NA,NA
234,"ES","3100 Martin Luther King Jr. Avenue, SE","890",42528,620,"Democracy Prep PCS-Congress Heights",1,436,70,NA,NA,NA,NA,NA,NA,"PCS",0.703225806451613,0.112903225806452,0.00161290322580645,68.5935483870968,NA,NA,NA,NA,NA,NA,NA
1137,"PK3-K","320 21st Street, NE","218",15866,161,"AppleTree Early Learning Center PCS Oklahoma",3,80,4,38.89459581,-76.97558295,"7",NA,NA,NA,"PCS",0.496894409937888,0.0248447204968944,0.0186335403726708,98.5465838509317,NA,NA,NA,NA,NA,NA,NA
248,"MS","3220 16th Street, NW","308",20217,210,"District of Columbia International School",26,44,40,NA,NA,NA,NA,NA,NA,"PCS",0.20952380952381,0.19047619047619,0.123809523809524,96.2714285714286,NA,NA,NA,NA,NA,NA,NA
3069,"ES","3224 16th Street, NW","203",17976,181,"Creative Minds International PCS",10,22,48,38.93151044,-77.03681552,"1",NA,NA,NA,"PCS",0.121546961325967,0.265193370165746,0.0552486187845304,99.3149171270718,NA,NA,NA,NA,NA,NA,NA
158,"ES","33 Riggs Road, NE","600",50600,329,"Community Academy Amos II",86,193,18,38.95492264,-77.00663786,"5",NA,NA,NA,"PCS",0.586626139817629,0.0547112462006079,0.261398176291793,153.799392097264,NA,NA,NA,NA,NA,NA,NA
187,"MS","3301 Wheeler Road, SE"," 	1,149 ",112000,240,"Somerset PCS",0,160,44,38.84151923,-76.99410056,"8",NA,NA,NA,"PCS",0.666666666666667,0.183333333333333,0,466.666666666667,NA,NA,NA,NA,NA,NA,NA
195,"ES","3400 Wheeler Road, SE"," 	1,241 ",60000,774,"Eagle Academy PCS - Eagle Center at McGogney",2,466,83,38.84026907,-76.9930375,"8",NA,NA,NA,"PCS",0.602067183462532,0.107235142118863,0.00258397932816537,77.5193798449612,NA,NA,NA,NA,NA,NA,NA
146,"MS","3600 Georgia Avenue, NW","516",45484,377,"E L  Haynes PCS Georgia Avenue",54,157,77,38.93432162,-77.02424335,"1",NA,NA,NA,"PCS",0.416445623342175,0.204244031830239,0.143236074270557,120.647214854111,NA,NA,NA,NA,NA,NA,NA
