"Agency","School","SCHOOLCODE","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"PCS","Friendship PCS Woodridge Elementary",365,"2959 Carlton Avenue, NE","600",NA,NA,"ES",37000,NA,NA,NA,NA,-76.9665146,38.92954664,"5",NA,NA,284,8,127,12,0.447183098591549,0.0422535211267606,0.028169014084507,130.281690140845,NA,NA
"PCS","Friendship PCS Woodridge Middle",366,"2960 Carlton Avenue, NE","",NA,NA,"MS",0,NA,NA,NA,NA,-76.9665146,38.92954664,"5",NA,NA,168,1,75,35,0.446428571428571,0.208333333333333,0.00595238095238095,0,NA,NA
"PCS","Mundo Verde Bilingual PCS",3065,"30 P Street, NW","897",NA,NA,"ES",36148,NA,NA,NA,NA,-77.03681,38.93131343,"1",NA,NA,404,84,57,22,0.141089108910891,0.0544554455445545,0.207920792079208,89.4752475247525,NA,NA
"PCS","Lee Montessori PCS",228,"301 Douglas Street, NE","162",NA,NA,"ES",13200,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,0,10,5,0.135135135135135,0.0675675675675676,0,178.378378378378,NA,NA
"PCS","Youthbuild PCS",128,"3014 14th St NW","100",NA,NA,"ALT",11709,NA,NA,NA,NA,-77.03275327,38.92774375,"1",NA,NA,112,7,0,10,0,0.0892857142857143,0.0625,104.544642857143,NA,NA
"PCS","Latin American Youth Center Career Academy",104,"3047 15th Street, NW","225",NA,NA,"ALT",16097,NA,NA,NA,NA,-77.0358413,38.92851269,"1",NA,NA,190,36,0,6,0,0.0315789473684211,0.189473684210526,84.7210526315789,NA,NA
"PCS","The Next Step PCS",168,"3047 15th Street, NW","375",NA,NA,"ALT",30755,NA,NA,NA,NA,-77.0358413,38.92851269,"1",NA,NA,363,203,0,13,0,0.0358126721763085,0.559228650137741,84.7245179063361,NA,NA
"PCS","Democracy Prep PCS-Congress Heights",234,"3100 Martin Luther King Jr. Avenue, SE","890",NA,NA,"ES",42528,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,1,436,70,0.703225806451613,0.112903225806452,0.00161290322580645,68.5935483870968,NA,NA
"PCS","AppleTree Early Learning Center PCS Oklahoma",1137,"320 21st Street, NE","218",NA,NA,"PK3-K",15866,NA,NA,NA,NA,-76.97558295,38.89459581,"7",NA,NA,161,3,80,4,0.496894409937888,0.0248447204968944,0.0186335403726708,98.5465838509317,NA,NA
"PCS","District of Columbia International School",248,"3220 16th Street, NW","308",NA,NA,"MS",20217,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,26,44,40,0.20952380952381,0.19047619047619,0.123809523809524,96.2714285714286,NA,NA
"PCS","Creative Minds International PCS",3069,"3224 16th Street, NW","203",NA,NA,"ES",17976,NA,NA,NA,NA,-77.03681552,38.93151044,"1",NA,NA,181,10,22,48,0.121546961325967,0.265193370165746,0.0552486187845304,99.3149171270718,NA,NA
"PCS","Community Academy Amos II",158,"33 Riggs Road, NE","600",NA,NA,"ES",50600,NA,NA,NA,NA,-77.00663786,38.95492264,"5",NA,NA,329,86,193,18,0.586626139817629,0.0547112462006079,0.261398176291793,153.799392097264,NA,NA
"PCS","Somerset PCS",187,"3301 Wheeler Road, SE"," 	1,149 ",NA,NA,"MS",112000,NA,NA,NA,NA,-76.99410056,38.84151923,"8",NA,NA,240,0,160,44,0.666666666666667,0.183333333333333,0,466.666666666667,NA,NA
"PCS","Eagle Academy PCS - Eagle Center at McGogney",195,"3400 Wheeler Road, SE"," 	1,241 ",NA,NA,"ES",60000,NA,NA,NA,NA,-76.9930375,38.84026907,"8",NA,NA,774,2,466,83,0.602067183462532,0.107235142118863,0.00258397932816537,77.5193798449612,NA,NA
"PCS","E L  Haynes PCS Georgia Avenue",146,"3600 Georgia Avenue, NW","516",NA,NA,"MS",45484,NA,NA,NA,NA,-77.02424335,38.93432162,"1",NA,NA,377,54,157,77,0.416445623342175,0.204244031830239,0.143236074270557,120.647214854111,NA,NA
"PCS","Elsie Whitlow Stokes Community Freedom PCS",159,"3700 Oakview Terrace, NE","450",NA,NA,"ES",32341,NA,NA,NA,NA,-76.99008735,38.93498987,"5",NA,NA,350,63,62,26,0.177142857142857,0.0742857142857143,0.18,92.4028571428571,NA,NA
"PCS","Cesar Chavez PCS Parkside Upper",109,"3701 Hayes Street,  NE","834",NA,NA,"HS",36015,NA,NA,NA,NA,-76.94906511,38.90143803,"7",NA,NA,356,7,228,40,0.640449438202247,0.112359550561798,0.0196629213483146,101.165730337079,NA,NA
"PCS","Cesar Chavez Parkside MS PCS",102,"3702 Hayes Street,  NE","",NA,NA,"MS",30870,NA,NA,NA,NA,-76.94906511,38.90143803,"7",NA,NA,303,8,204,42,0.673267326732673,0.138613861386139,0.0264026402640264,101.881188118812,NA,NA
"PCS","Howard University Middle School of Math and Science PCS",115,"405 Howard Place, NW","435",NA,NA,"MS",20968,NA,NA,NA,NA,-77.01912932,38.92284156,"1",NA,NA,294,11,115,9,0.391156462585034,0.0306122448979592,0.0374149659863946,71.3197278911565,NA,NA
"PCS","Friendship PCS Woodson Collegiate Academy",186,"4095 Minnesota Avenue, NE"," 	1,500 ",NA,NA,"HS",152000,NA,NA,NA,NA,-76.94634663,38.8975498,"7",NA,NA,883,0,517,165,0.585503963759909,0.186862967157418,0,172.140430351076,NA,NA
"PCS","Basis DC PCS",3068,"410 8th Street, NW"," 	1,062 ",NA,NA,"MS/HS",44179,NA,NA,NA,NA,-77.0232213,38.89521439,"2",NA,NA,551,0,48,23,0.0871143375680581,0.0417422867513612,0,80.1796733212341,NA,NA
"PCS","KIPP DC WILL Academy PCS",121,"421 P Street, NW","",NA,NA,"MS",36149,NA,NA,NA,NA,-77.01811734,38.90988639,"6",NA,NA,344,3,138,66,0.401162790697674,0.191860465116279,0.00872093023255814,105.084302325581,NA,NA
"PCS","KIPP DC LEAD Academy",190,"421 P Street, NW","",NA,NA,"ES",31736,NA,NA,NA,NA,-77.01811734,38.90988639,"6",NA,NA,302,4,127,27,0.420529801324503,0.0894039735099338,0.0132450331125828,105.086092715232,NA,NA
"PCS","KIPP DC GROW Academy PCS",1129,"421 P Street, NW"," 	1,195 ",NA,NA,"PK3-K",32786,NA,NA,NA,NA,-77.01811734,38.90988639,"6",NA,NA,312,3,140,17,0.448717948717949,0.0544871794871795,0.00961538461538462,105.083333333333,NA,NA
"PCS","School for Educational Evolution and Development (SEED) PCS",174,"4300 C Street, SE","488",NA,NA,"MS/HS",48128,NA,NA,NA,NA,-76.94630306,38.88713024,"7",NA,NA,336,0,172,57,0.511904761904762,0.169642857142857,0,143.238095238095,NA,NA
"PCS","Potomac Preparatory PCS",117,"4401 8th Street, NE","650",NA,NA,"ES/MS",42016,NA,NA,NA,NA,-76.994532,38.9429707,"5",NA,NA,425,0,261,50,0.614117647058824,0.117647058823529,0,98.8611764705882,NA,NA
"PCS","E.L. Haynes Kansas Avenue - High School",1138,"4501 Kansas Avenue, NW","861",NA,NA,"HS",17647,NA,NA,NA,NA,-77.02241638,38.94560189,"4",NA,NA,422,66,218,90,0.516587677725118,0.213270142180095,0.156398104265403,41.8175355450237,NA,NA
"PCS","Ingenuity Prep PCS",200,"4600 Livingston Road, SE","200",NA,NA,"ES",32142,NA,NA,NA,NA,-77.00308684,38.82390393,"8",NA,NA,201,0,148,22,0.736318407960199,0.109452736318408,0,159.910447761194,NA,NA
"PCS","National Collegiate Prep PCS",1120,"4600 Livingston Road, SE","400",NA,NA,"HS",48933,NA,NA,NA,NA,-77.00308684,38.82390393,"8",NA,NA,306,0,213,40,0.696078431372549,0.130718954248366,0,159.911764705882,NA,NA
"PCS","KIPP DC LEAP Academy PCS",132,"4801 Benning Road, SE","",NA,NA,"PK3-K",24801,NA,NA,NA,NA,-76.93439427,38.88262754,"7",NA,NA,304,0,177,19,0.582236842105263,0.0625,0,81.5822368421053,NA,NA
"PCS","KIPP DC KEY Academy PCS",189,"4801 Benning Road, SE"," 	1,608 ",NA,NA,"MS",27248,NA,NA,NA,NA,-76.93439427,38.88262754,"7",NA,NA,334,1,161,37,0.482035928143713,0.110778443113772,0.0029940119760479,81.5808383233533,NA,NA
"PCS","KIPP DC Promise PCS",1121,"4801 Benning Road, SE","",NA,NA,"ES",32632,NA,NA,NA,NA,-76.93439427,38.88262754,"7",NA,NA,400,3,219,55,0.5475,0.1375,0.0075,81.58,NA,NA
"PCS","Center City Petworth Campus PCS",1106,"510 Webster Street, NW","425",NA,NA,"ES/MS",30825,NA,NA,NA,NA,-77.02090667,38.94387114,"4",NA,NA,262,53,97,19,0.370229007633588,0.0725190839694656,0.202290076335878,117.652671755725,NA,NA
"PCS","Washington Latin PCS MS",125,"5200 2nd Street, NW","835",NA,NA,"MS",35040,NA,NA,NA,NA,-77.01381902,38.95388895,"4",NA,NA,366,3,16,29,0.0437158469945355,0.0792349726775956,0.00819672131147541,95.7377049180328,NA,NA
"PCS","Washington Latin PCS HS",1118,"5201 2nd Street, NW","835",NA,NA,"HS",29280,NA,NA,NA,NA,-77.01381902,38.95388895,"4",NA,NA,304,6,70,31,0.230263157894737,0.101973684210526,0.0197368421052632,96.3157894736842,NA,NA
"PCS","KIPP DC Arts & Technology Academy PCS",236,"5300 Blaine Street, NE","764",NA,NA,"PK3-K",28914,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,1,129,14,0.608490566037736,0.0660377358490566,0.00471698113207547,136.38679245283,NA,NA
"PCS","KIPP DC Quest Academy PCS",237,"5300 Blaine Street, NE","",NA,NA,"ES",38461,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,1,176,43,0.624113475177305,0.152482269503546,0.00354609929078014,136.386524822695,NA,NA
"PCS","Maya Angelou Evans Campus PCS",101,"5600 E Capitol Street, NE","646",NA,NA,"ALT",79453,NA,NA,NA,NA,-76.92063526,38.89029144,"7",NA,NA,252,0,0,88,0,0.349206349206349,0,315.289682539683,NA,NA
"PCS","Maya Angelou Young Adult Learning Center",137,"5600 E Capitol Street, NE","",NA,NA,"ADULT",46347,NA,NA,NA,NA,-76.92063526,38.89029144,"7",NA,NA,147,0,1,17,0.00680272108843537,0.115646258503401,0,315.285714285714,NA,NA
"PCS","DC Scholars PCS",3070,"5601 East Capitol Street, SE","443",NA,NA,"ES",31000,NA,NA,NA,NA,-76.92174283,38.88947954,"7",NA,NA,389,0,252,38,0.647814910025707,0.0976863753213368,0,79.6915167095116,NA,NA
"PCS","Paul Public Charter School - Middle School",170,"5800 8th Street, NW","780",NA,NA,"MS",68650,NA,NA,NA,NA,-77.02472307,38.96136545,"4",NA,NA,376,24,160,47,0.425531914893617,0.125,0.0638297872340425,182.579787234043,NA,NA
"PCS","Paul Public Charter School - International High School",222,"5800 8th Street, NW","",NA,NA,"HS",59338,NA,NA,NA,NA,-77.02472307,38.96136545,"4",NA,NA,325,24,159,42,0.489230769230769,0.129230769230769,0.0738461538461539,182.578461538462,NA,NA
"PCS","Center City Brightwood Campus PCS",1103,"6008 Georgia Avenue, NW","567",NA,NA,"ES/MS",37010,NA,NA,NA,NA,-77.02832854,38.96319196,"4",NA,NA,248,55,80,26,0.32258064516129,0.104838709677419,0.221774193548387,149.233870967742,NA,NA
"PCS","Sela PCS",197,"6015 Chillum Place, NE","N/A",NA,NA,"ES",0,NA,NA,NA,NA,-77.00736469,38.96387483,"4",NA,NA,86,8,24,8,0.27906976744186,0.0930232558139535,0.0930232558139535,0,NA,NA
"PCS","Shining Stars Montessori PCS",3066,"6017 Chillum Place, NE","N/A",NA,NA,"PK3-K",0,NA,NA,NA,NA,-77.03079817,38.92008577,"1",NA,NA,118,12,20,1,0.169491525423729,0.00847457627118644,0.101694915254237,0,NA,NA
"PCS","Ideal Academy PCS North Capitol Street Campus ES",134,"6130 N Capitol Street, NW","500",NA,NA,"ES/MS",35090,NA,NA,NA,NA,-77.00993332,38.96491986,"4",NA,NA,297,3,185,32,0.622895622895623,0.107744107744108,0.0101010101010101,118.148148148148,NA,NA
"PCS","Harmony DC PCS-School of Excellence",245,"62 T Street, NE","220",NA,NA,"ES",20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,0,40,8,0.606060606060606,0.121212121212121,0,303.030303030303,NA,NA
"PCS","Hope Community PCS Lamond Campus",131,"6200 Kansas Avenue, NE","500",NA,NA,"ES",41000,NA,NA,NA,NA,-77.00860715,38.96571909,"4",NA,NA,358,13,148,22,0.41340782122905,0.0614525139664804,0.0363128491620112,114.525139664804,NA,NA
"PCS","Friendship PCS SouthEast Academy",113,"645 Milwaukee Place, SE","950",NA,NA,"ES",58539,NA,NA,NA,NA,-76.99700774,38.84779147,"8",NA,NA,576,0,412,56,0.715277777777778,0.0972222222222222,0,101.630208333333,NA,NA
"PCS","Cedar Tree Academy PCS",188,"701 Howard Road, SE","650",NA,NA,"PK3-K",31000,NA,NA,NA,NA,-76.99919401,38.86421603,"8",NA,NA,358,0,261,9,0.729050279329609,0.0251396648044693,0,86.5921787709497,NA,NA
"PCS","William E. Doar Jr PCS",210,"705 Edgewood Street, NE","560",NA,NA,"ES/MS",46835,NA,NA,NA,NA,-76.99585343,38.9236448,"5",NA,NA,439,13,223,35,0.507972665148064,0.0797266514806378,0.0296127562642369,106.685649202733,NA,NA
"PCS","D C  Preparatory Edgewood Elementary Campus PCS",130,"707 Edgewood Street, NE","499",NA,NA,"ES",50050,NA,NA,NA,NA,-76.99573508,38.92427699,"5",NA,NA,432,20,197,28,0.456018518518519,0.0648148148148148,0.0462962962962963,115.856481481481,NA,NA
"PCS","Cesar Chavez Capitol Hill PCS",153,"709 12th Street, SE","430",NA,NA,"HS",40000,NA,NA,NA,NA,-76.99064037,38.88069473,"6",NA,NA,358,21,225,70,0.628491620111732,0.195530726256983,0.058659217877095,111.731843575419,NA,NA
"PCS","Center City Shaw Campus PCS",1107,"711 N Street, NW","350",NA,NA,"ES/MS",29240,NA,NA,NA,NA,-77.02266552,38.90744452,"6",NA,NA,241,34,113,29,0.468879668049793,0.120331950207469,0.141078838174274,121.327800829876,NA,NA
"PCS","Friendship PCS Blow Pierce Elementary",361,"725 19th Street, NE","925",NA,NA,"ES",33895,NA,NA,NA,NA,-76.97648125,38.89782045,"7",NA,NA,379,6,289,14,0.762532981530343,0.0369393139841689,0.0158311345646438,89.4327176781003,NA,NA
"PCS","Friendship PCS Blow-Pierce Middle",362,"725 19th Street, NE","",NA,NA,"MS",19049,NA,NA,NA,NA,-76.97648125,38.89782045,"7",NA,NA,213,1,147,42,0.690140845070423,0.197183098591549,0.00469483568075117,89.4319248826291,NA,NA
"PCS","Cesar Chavez PCS Chavez Prep",127,"770 Kenyon Street, NW","420",NA,NA,"MS",36059,NA,NA,NA,NA,-77.02587574,38.92960614,"1",NA,NA,331,94,170,48,0.513595166163142,0.145015105740181,0.283987915407855,108.939577039275,NA,NA
"PCS","Richard Wright PCS for Journalism and Media Arts",3067,"770 M Street, SE","398",NA,NA,"MS/HS",28000,NA,NA,NA,NA,-76.99557668,38.87699771,"6",NA,NA,305,1,225,58,0.737704918032787,0.19016393442623,0.00327868852459016,91.8032786885246,NA,NA
"PCS","AppleTree Early Learning Center PCS Southwest",141,"801 7th Street, SW","158",NA,NA,"PK3-K",6162,NA,NA,NA,NA,-77.0181253,38.8795154,"6",NA,NA,86,4,41,2,0.476744186046512,0.0232558139534884,0.0465116279069767,71.6511627906977,NA,NA
"PCS","Achievement Preparatory PCS-Middle School",1100,"908 Wahler Place, SE","519",NA,NA,"MS",33177,NA,NA,NA,NA,-76.98339857,38.8416454,"8",NA,NA,381,0,192,51,0.503937007874016,0.133858267716535,0,87.0787401574803,NA,NA
