"Agency","School","SCHOOLCODE","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Marie Reed Elementary School",284,"2201 18th St. NW","470","Phase 0",NA,"ES",162688,"STABILIZED",2970097,54503000,64904196,-77.040529953,38.919167306,"1","Col Hts. Ed. Campus (6-8)","Cardozo EC (9-12)",393,189,143,41,0.363867684478371,0.104325699745547,0.480916030534351,413.964376590331,7557.49872773537,18.2563987509835
"DCPS","Maury Elementary School",274,"1250 Constitution Ave NE","300","Phase I",2011,"ES",46800,"PARTIAL MOD",6444395,5044000,12620745,-76.988657501,38.89218486,"6","Eliot-Hine MS","Eastern HS",366,2,48,23,0.131147540983607,0.0628415300546448,0.00546448087431694,127.868852459016,17607.6366120219,137.700747863248
"DCPS","Moten Elementary School",285,"1565 Morris Rd SE","480","Full",2012,"ES",99696,"FULL MOD",27716993,0,27856881,-76.982943653,38.856657189,"8","Kramer MS","Anacostia HS",395,0,348,65,0.881012658227848,0.164556962025316,0,252.394936708861,70169.6025316456,278.01509589151
"DCPS","Murch Elementary School",287,"4810 36th St  NW","488","Phase 0",NA,"ES",47696,"STABILIZED",748083,63156000,68294774,-77.070079209,38.952933189,"3","Deal MS","Wilson HS",620,56,18,23,0.0290322580645161,0.0370967741935484,0.0903225806451613,76.9290322580645,1206.58548387097,15.6843970144247
"DCPS","Nalle Elementary School",288,"219 50th St  SE","400","Phase I",2012,"ES",83900,"PARTIAL MOD",11521407,0,11570572,-76.930796505,38.885954084,"7","Kelly Miller MS","Woodson HS",384,6,295,45,0.768229166666667,0.1171875,0.015625,218.489583333333,30003.6640625,137.323087008343
"DCPS","Noyes Education Campus",290,"2725 10th St  NE","391","Full",2004,"ES",51496,"FULL MOD + ADD",24719301,0,24719301,-76.991842884,38.925177646,"5","Brookland MS","Dunbar HS",289,11,182,44,0.629757785467128,0.152249134948097,0.0380622837370242,178.186851211073,85533.9134948097,480.023710579462
"DCPS","Old Miner",280,"601 15th St  NE","550","Full",2003,"ES",76896,"FULL REPLACEMENT",6391359,0,6391359,-76.982904319,38.897375681,"6","Eliot-Hine MS","Eastern HS",398,7,296,66,0.743718592964824,0.165829145728643,0.0175879396984925,193.206030150754,16058.6909547739,83.1169241573034
"DCPS","Orr Elementary School",291,"2200 Minnesota Ave  SE","392","Phase 0",NA,"ES",75900,"STABILIZED",0,41995000,44995000,-76.974484017,38.871796823,"8","Kramer MS","Anacostia HS",384,2,295,54,0.768229166666667,0.140625,0.00520833333333333,197.65625,0,0
"DCPS","Patterson Elementary School",294,"4399 South Capitol Terr  SW","382","Full",2004,"ES",76896,"FULL REPLACEMENT",5365870,0,5365870,-77.008484709,38.826966026,"8","Hart MS","Ballou HS",380,1,323,44,0.85,0.115789473684211,0.00263157894736842,202.357894736842,14120.7105263158,69.7808728672493
"DCPS","Payne Elementary School",295,"1445 C St SE","348","Full",2016,"ES",83792,"FULL MOD",22389213,27450,27815086,-76.984194914,38.885132314,"6","Eliot-Hine MS","Eastern HS",277,5,165,30,0.595667870036101,0.108303249097473,0.0180505415162455,302.498194945848,80827.4837545126,267.199887817453
"DCPS","Peabody Elementary School",301,"425 C St  NE","228","Phase I",2013,"PK3-K",37800,"PARTIAL MOD",7028816,0,7099258,-76.999857987,38.892895991,"6","Stuart-Hobson MS","Eastern HS",227,4,16,10,0.0704845814977974,0.0440528634361234,0.0176211453744493,166.519823788546,30963.9471365639,185.947513227513
