"School_ID","Agency","Address","maxOccupancy","Level","totalSQFT","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total_Enrolled","Limited_English","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","ProjectType","School"
227,"DCPS","2525 17th St NW",440,"ES",85696,32500688,0,32500688,1,-77.038810584,38.923942751,1,"CHEC (6-8)","Cardozo EC (9-12)",400,164,215,42,0.5375,0.105,0.41,73865.2,379.255601194922,1,"Full Modernization","H.D. Cooke Elementary"
413,"DCPS","601 Mississippi Ave  SE",912,"MS",210700,13075759,0,13075759,1,-76.997178747,38.837737537,8,NA,"Ballou HS",479,0,393,128,0.820459290187891,0.267223382045929,0,14337.4550438596,62.0586568580921,1,"Partial Modernization","Hart Middle"
258,"DCPS","3950 37th St  NW",330,"ES",62309,35678706,361277,36039983,1,-77.071955219,38.940722313,3,"Deal MS","Wilson HS",291,28,39,25,0.134020618556701,0.0859106529209622,0.0962199312714777,108117.290909091,572.609189683673,1,"Full Modernization","Hearst Elementary"
249,"DCPS","425 Chesapeake St  SE",520,"ES",73200,15937127,0,15937127,1,-76.999184846,38.82898558,8,"Hart MS","Ballou HS",503,0,453,84,0.900596421471173,0.166998011928429,0,30648.3211538462,217.72031420765,1,"Partial Modernization","Hendley Elementary"
251,"DCPS","1100 50th Pl  NE",398,"ES",59896,1191032,15693000,16884032,1,-76.929947647,38.905414986,7,"Kelly Miller MS","Woodson HS",279,3,209,40,0.74910394265233,0.14336917562724,0.010752688172043,2992.54271356784,19.8850006678242,1,"Stabilized","Houston Elementary"
252,"DCPS","3219 O St  NW",330,"ES",37504,19157333,22284976,41442309,1,-77.064537819,38.908019234,2,"Hardy MS","Wilson HS",305,29,24,25,0.0786885245901639,0.0819672131147541,0.0950819672131148,58052.5242424242,510.807727175768,1,"Full Modernization","Hyde-Addison Elementary"
339,"DCPS","660 K Street NE",480,"ES",98896,4264356,0,4264356,1,-76.996589022,38.902757665,6,"Stuart-Hobson MS","Eastern HS",466,6,232,47,0.497854077253219,0.100858369098712,0.0128755364806867,8884.075,43.1196003882867,1,"Partial Modernization","J.O. Wilson Elementary"
254,"DCPS","4130 Albemarle St  NW",700,"ES",96083,37443325,0,37443325,1,-77.080994825,38.947550086,3,"Deal MS","Wilson HS",693,30,8,38,0.0115440115440115,0.0548340548340548,0.0432900432900433,53490.4642857143,389.697709272192,1,"Full Modernization","Janney Elementary"
416,"DCPS","1400 Bruce Pl  SE",730,"MS",182496,18602234,-5857,18596377,1,-76.983703681,38.851336572,8,NA,"Ballou HS",291,3,229,103,0.786941580756014,0.353951890034364,0.0103092783505155,25482.5123287671,101.932283447308,1,"Partial Modernization","Johnson Middle"
421,"DCPS","301 49th St  NE",600,"MS",114992,10614880,0,10614880,1,-76.932455065,38.893315031,7,"","HD Woodson HS",546,7,382,146,0.6996336996337,0.267399267399267,0.0128205128205128,17691.4666666667,92.3097258939752,1,"Full Replacement","Kelly Miller Middle"
257,"DCPS","1919 15th St  SE",325,"ES",88288,8328691,0,8328691,1,-76.983621162,38.86604236,8,"Kramer MS","Anacostia HS",309,0,265,37,0.857605177993528,0.119741100323625,0,25626.7415384615,94.3354816056542,1,"Partial Modernization","Ketcham Elementary"
272,"DCPS","5001 Dana Pl  NW",364,"ES",50000,13007488,0,13007488,1,-77.100527318,38.926801504,3,"Hardy MS","Wilson HS",383,28,12,27,0.031331592689295,0.0704960835509138,0.0731070496083551,35734.8571428571,260.14976,1,"Full Modernization","Key Elementary"
259,"DCPS","3375 Minnesota Ave  SE",398,"ES",83392,0,17696000,17696000,1,-76.957572707,38.883082756,7,"Sousa MS","Anacostia HS",348,0,268,48,0.770114942528736,0.137931034482759,0,0,0,1,"Stabilized","Kimball Elementary"
344,"DCPS","3200 6th St  SE",444,"ES",65496,4118755,372458,4491213,1,-76.998238991,38.842442852,8,"Hart MS","Ballou HS",372,2,327,55,0.879032258064516,0.147849462365591,0.00537634408602151,9276.47522522523,62.8855960669354,1,"Stabilized","King, M.L. Elementary"
417,"DCPS","1700 Q St  SE",600,"MS",153984,30951777,0,30951777,1,-76.980171305,38.87128607,8,NA,"Anacostia HS",333,0,267,110,0.801801801801802,0.33033033033033,0,51586.295,201.006448721945,1,"Partial Modernization","Kramer Middle"
261,"DCPS","5701 Broad Branch Rd  NW",516,"ES",113600,9939007,59373105,69312112,1,-77.068037122,38.96662722,4,"Deal MS","Wilson HS",697,21,19,47,0.0272596843615495,0.0674318507890961,0.03012912482066,19261.6414728682,87.4912588028169,1,"Full Modernization","Lafayette Elementary"
262,"DCPS","1900 Evarts St  NE",500,"ES",101392,19828246,0,19828246,1,-76.977081855,38.924703828,5,"McKinley MS","Dunbar HS",340,17,191,56,0.561764705882353,0.164705882352941,0.05,39656.492,195.560261164589,1,"Partial Modernization","Langdon Elementary"
370,"DCPS","101 T Street NE",530,"ES",100000,10253618,0,10253618,1,-77.005890393,38.915162564,5,"McKinley MS","Dunbar HS",297,3,185,44,0.622895622895623,0.148148148148148,0.0101010101010101,19346.4490566038,102.53618,1,"Partial Modernization","Langley Elementary"
264,"DCPS","501 Riggs Road NE",400,"ES/MS",63000,14206295,0,14206295,1,-76.999882544,38.959971809,4,"","Coolidge HS",349,106,183,50,0.524355300859599,0.143266475644699,0.303724928366762,35515.7375,225.496746031746,1,"Partial Modernization","LaSalle-Backus Education Campus"
266,"DCPS","4201 M L  King Ave  SW",480,"ES",65000,595860,0,595860,1,-77.012891913,38.828196449,8,"Hart MS","Ballou HS",478,8,226,53,0.472803347280335,0.110878661087866,0.0167364016736402,1241.375,9.16707692307692,1,"Partial Modernization","Leckie Elementary"
271,"DCPS","659 G St  NE",362,"ES",66896,11489803,-1026290,10463513,1,-76.996492494,38.898743808,6,"Stuart-Hobson MS","Eastern HS",340,3,109,31,0.320588235294118,0.0911764705882353,0.00882352941176471,31739.7872928177,171.756203659412,1,"Partial Modernization","Ludlow-Taylor Elementary"
884,"DCPS","1001 Monroe St NE",350,"ALT",65528,16352780,0,16352780,1,-76.992316326,38.932276047,5,"","",350,2,0,41,0,0.117142857142857,0.00571428571428571,46722.2285714286,249.554083750458,1,"Full Modernization","Luke Moore High"
NA,"DCPS","4400 Iowa Ave NW",NA,"MS",11000,874564,50026000,50900564,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5058181818182,0,"Stabilized","Macfarland"
265,"DCPS","100 Galatin St NW",120,"SPED",45800,757876.134600158,0,757876.134600158,0,NA,NA,5,NA,NA,56,4,29,0,0.517857142857143,0,0.0714285714285714,6315.63445500132,16.5475138558986,1,"Stabilized","Mamiedlee"
273,"DCPS","4430 Newark St NW",370,"ES",60969,34565362,-500000,34065362,1,-77.087826194,38.934291971,3,"Hardy MS","Wilson HS",302,34,4,12,0.0132450331125828,0.0397350993377483,0.112582781456954,93419.8972972973,566.933392379734,1,"Full Modernization","Mann Elementary"
284,"DCPS","2201 18th St. NW",470,"ES",162688,2970097,54503000,57473097,1,-77.040529953,38.919167306,1,"Col Hts. Ed. Campus (6-8)","Cardozo EC (9-12)",393,189,143,41,0.363867684478371,0.104325699745547,0.480916030534351,6319.35531914894,18.2563987509835,1,"Full Modernization","Marie Reed Elementary"
274,"DCPS","1250 Constitution Ave NE",300,"ES",46800,6444395,5044000,11488395,1,-76.988657501,38.89218486,6,"Eliot-Hine MS","Eastern HS",366,2,48,23,0.131147540983607,0.0628415300546448,0.00546448087431694,21481.3166666667,137.700747863248,1,"Partial Modernization","Maury Elementary"
435,"DCPS","151 T St NE",340,"MS",62000,NA,NA,NA,0,-77.004122439,38.915219785,5,"","Dunbar HS",202,5,119,31,0.589108910891089,0.153465346534653,0.0247524752475248,NA,NA,1,"Full Modernization","McKinley Middle"
458,"DCPS","151 T St NE",1160,"HS",282200,77382544,0,77382544,0,-77.00488219,38.915210095,5,"","",645,6,239,12,0.370542635658915,0.0186046511627907,0.00930232558139535,66709.0896551724,274.211708008505,1,"Full Modernization","McKinley Technology High"
280,"DCPS","601 15th St  NE",550,"ES",76896,6391359,0,6391359,1,-76.982904319,38.897375681,6,"Eliot-Hine MS","Eastern HS",398,7,296,66,0.743718592964824,0.165829145728643,0.0175879396984925,11620.6527272727,83.1169241573034,1,"Full Replacement","Miner Elementary"
285,"DCPS","1565 Morris Rd SE",480,"ES",99696,27716993,0,27716993,1,-76.982943653,38.856657189,8,"Kramer MS","Anacostia HS",395,0,348,65,0.881012658227848,0.164556962025316,0,57743.7354166667,278.01509589151,1,"Full Modernization","Moten Elementary"
287,"DCPS","4810 36th St  NW",488,"ES",47696,748083,63156000,63904083,1,-77.070079209,38.952933189,3,"Deal MS","Wilson HS",620,56,18,23,0.0290322580645161,0.0370967741935484,0.0903225806451613,1532.95696721311,15.6843970144247,1,"Full Modernization","Murch Elementary"
288,"DCPS","219 50th St  SE",400,"ES",83900,11521407,0,11521407,1,-76.930796505,38.885954084,7,"Kelly Miller MS","Woodson HS",384,6,295,45,0.768229166666667,0.1171875,0.015625,28803.5175,137.323087008343,1,"Partial Modernization","Nalle Elementary"
290,"DCPS","2725 10th St  NE",391,"ES",51496,24719301,0,24719301,1,-76.991842884,38.925177646,5,"Brookland MS","Dunbar HS",289,11,182,44,0.629757785467128,0.152249134948097,0.0380622837370242,63220.7186700767,480.023710579462,1,"Full Modernization","Noyes Elementary"
291,"DCPS","2200 Minnesota Ave  SE",392,"ES",75900,NA,41995000,NA,1,-76.974484017,38.871796823,8,"Kramer MS","Anacostia HS",384,2,295,54,0.768229166666667,0.140625,0.00520833333333333,NA,NA,1,"Stabilized","Orr Elementary"
292,"DCPS","2020 19th St. NW",324,"MS",59400,3803375,12236000,16039375,1,-77.044377251,38.917309201,3,NA,"Wilson HS",314,NA,NA,NA,NA,NA,NA,11738.8117283951,64.0298821548822,1,"Stabilized","Oyster-Adams Bilingual School"
292,"DCPS","2801 Calvert St NW",350,"ES",47984,0,0,0,1,-77.044377251,38.917309201,3,NA,"Wilson HS",263,NA,NA,NA,NA,NA,NA,0,0,1,"Full Replacement","Oyster-Adams Bilingual School"
294,"DCPS","4399 South Capitol Terr  SW",382,"ES",76896,32570942,0,32570942,1,-77.008484709,38.826966026,8,"Hart MS","Ballou HS",380,1,323,44,0.85,0.115789473684211,0.00263157894736842,85264.2460732984,423.571343112776,1,"Full Replacement","Patterson Elementary"
295,"DCPS","1445 C St SE",348,"ES",83792,22389213,27450,22416663,1,-76.984194914,38.885132314,6,"Eliot-Hine MS","Eastern HS",277,5,165,30,0.595667870036101,0.108303249097473,0.0180505415162455,64336.8189655172,267.199887817453,1,"Full Modernization","Payne Elementary"
301,"DCPS","425 C St  NE",228,"PK3-K",37800,7028816,0,7028816,1,-76.999857987,38.892895991,6,"Stuart-Hobson MS","Eastern HS",227,4,16,10,0.0704845814977974,0.0440528634361234,0.0176211453744493,30828.1403508772,185.947513227513,1,"Partial Modernization","Peabody Elementary"
478,"DCPS","704 26th Street NE",512,"HS",146976,66594065,0,66594065,1,-76.971897631,38.901991687,5,"","",323,9,166,42,0.513931888544892,0.130030959752322,0.0278637770897833,130066.533203125,453.094825005443,1,"Full Modernization","Phelps ACE High"
299,"DCPS","4601 Texas Ave  SE",448,"ES",69392,13846933,26191,13873124,1,-76.939934676,38.887239863,7,"Sousa MS","Anacostia HS",428,24,354,54,0.827102803738318,0.126168224299065,0.0560747663551402,30908.3325892857,199.546532741526,1,"Partial Modernization","Plummer Elementary"
300,"DCPS","1350 Upshur St  NW",304,"ES",76848,25490976,2504026,27995002,1,-77.031227422,38.941534009,4,"Col. Hts. EC (6-8)","Cardozo EC (6-12)",446,250,202,57,0.452914798206278,0.12780269058296,0.560538116591928,83851.8947368421,331.706433479076,1,"Full Modernization","Powell Elementary"
NA,"DCPS","4600 Livingston Rd SE",NA,NA,348700,700,0,700,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00200745626613135,0,"Stabilized","PR Harris"
316,"DCPS","1650 30th St  SE",450,"ES",72476,21543183,0,21543183,1,-76.964356283,38.870091402,7,"Kramer MS","Anacostia HS",360,3,228,49,0.633333333333333,0.136111111111111,0.00833333333333333,47873.74,297.245750317346,1,"Full Replacement","Randle Highlands Elementary"
302,"DCPS","915 Spring Rd  NW",615,"ES/MS",73600,0,19567000,19567000,1,-77.02643266,38.935810871,4,"","Roosevelt HS",581,245,308,96,0.530120481927711,0.165232358003442,0.421686746987952,0,0,1,"Stabilized","Raymond Education Campus"
NA,"DCPS","1000 1st St NW",NA,NA,143700,1446215,0,1446215,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0641266527488,0,"Demolished","RH Terrell"
