"MajorExp9815","YearsOpen","Open","Open.Now","School","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","Level","Address","maxOccupancy","totalSQFT","unqBuilding","longitude","latitude","Ward","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
651264,1,2015,1,"KIPP DC Arts & Technology Academy PCS",212,1,129,14,"PK3-K","5300 Blaine Street, NE",764,26950,1,-76.9258818,38.8917411,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.608490566037736,0.0660377358490566,0.00471698113207547,127.122641509434,852.439790575916,24.1656400742115,651264,852.439790575916,24.1656400742115
5814288,6,2010,1,"KIPP DC College Prep PCS",454,0,232,86,"HS","1401 Brentwood Parkway, NE",500,187423,1,-76.9944198,38.909317,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.511013215859031,0.18942731277533,0,412.825991189427,11628.576,31.0222758146012,969048,1938.096,5.17037930243353
1533672,2,2014,1,"KIPP DC Connect Academy",301,2,159,21,"PK3-K","1375 Mt Olivet Road, NE",1206,67000,1,-76.9814619,38.907437,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.528239202657807,0.0697674418604651,0.00664451827242525,222.591362126246,1271.70149253731,22.8906268656716,766836,635.850746268657,11.4453134328358
3706464,5,2011,1,"KIPP DC GROW Academy PCS",312,3,140,17,"PK3-K","421 P Street, NW",1195,100671,1,-77.018128,38.909942,"2",NA,NA,NA,NA,NA,NA,NA,"PCS",0.448717948717949,0.0544871794871795,0.00961538461538462,322.663461538462,3101.64351464435,36.8175939446315,741292.8,620.32870292887,7.3635187889263
3161880,4,2012,1,"KIPP DC Heights Academy PCS",415,0,229,57,"ES","2600 Douglass Place, SE",NA,NA,1,-76.9912057,38.8569692,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.551807228915663,0.137349397590361,0,NA,NA,NA,790470,NA,NA
11203877,12,2003,1,"KIPP DC KEY Academy PCS",334,1,161,37,"MS","4801 Benning Road, SE",1608,84681,1,-76.9343991,38.8826376,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.482035928143713,0.110778443113772,0.0029940119760479,253.535928143713,6967.58519900498,132.306857500502,933656.416666667,580.632099917081,11.0255714583752
6204843,8,2008,1,"KIPP DC LEAP Academy PCS",304,0,177,19,"PK3-K","4801 Benning Road, SE",NA,NA,1,-76.9343991,38.8826376,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.582236842105263,0.0625,0,NA,NA,NA,775605.375,NA,NA
387072,1,2015,1,"KIPP DC Northeast Academy PCS",126,1,70,22,"MS","1375 Mt Olivet Road, NE",NA,NA,1,-76.9814619,38.907437,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.555555555555556,0.174603174603175,0.00793650793650794,NA,NA,NA,387072,NA,NA
5553600,6,2010,1,"KIPP DC Promise PCS",400,3,219,55,"ES","4801 Benning Road, SE",NA,NA,1,-76.9343991,38.8826376,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.5475,0.1375,0.0075,NA,NA,NA,925600,NA,NA
866304,1,2015,1,"KIPP DC Quest Academy PCS",282,1,176,43,"ES","5300 Blaine Street, NE",NA,40425,1,-76.9258818,38.8917411,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.624113475177305,0.152482269503546,0.00354609929078014,143.351063829787,NA,21.4299072356215,866304,NA,21.4299072356215
616344,2,2014,1,"KIPP DC Spring Academy",102,0,60,5,"ES","1375 Mt Olivet Road, NE",NA,NA,1,-76.9814619,38.907437,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.588235294117647,0.0490196078431373,0,NA,NA,NA,308172,NA,NA
7645919,9,2007,1,"KIPP DC WILL Academy PCS",344,3,138,66,"MS","421 P Street, NW",NA,NA,1,-77.018128,38.909942,"2",NA,NA,NA,NA,NA,NA,NA,"PCS",0.401162790697674,0.191860465116279,0.00872093023255814,NA,NA,NA,849546.555555556,NA,NA
6050898,12,2004,1,"Latin American Montessori Bilingual (LAMB) PCS",342,129,40,38,"ES","1800 Perry Street, NE",566,36668,0,-76.9783016,38.9363691,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.116959064327485,0.111111111111111,0.37719298245614,107.216374269006,10690.6325088339,165.018490236719,504241.5,890.886042402827,13.7515408530599
6050898,12,2004,1,"Latin American Montessori Bilingual (LAMB) PCS",342,129,40,38,"ES","1375 Missouri Avenue, NW",566,36668,0,-77.0323824,38.9622483,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.116959064327485,0.111111111111111,0.37719298245614,107.216374269006,10690.6325088339,165.018490236719,504241.5,890.886042402827,13.7515408530599
