"Agency","maxOccupancy","Level","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","AtRiskPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt","Ward","School"
"PCS",190,"ES","2333312",2736624,NA,NA,NA,0.541095890410959,15981.5890410959,274.507294117647,1,388885.333333333,2663.59817351598,45.7512156862745,"6","Eagle Academy New Jersey Avenue Campus"
"PCS",218,"PK3-K","2327592",3017784,NA,NA,NA,0.496894409937888,14457.0931677019,146.703138787344,1,465518.4,2891.41863354037,29.3406277574688,"7","AppleTree Early Learning Center Oklahoma"
"PCS",861,"HS","5596776",7909968,NA,NA,NA,0.516587677725118,13262.5023696682,317.151697172324,1,1119355.2,2652.50047393365,63.4303394344648,"4","E.L. Haynes Kansas Avenue- High School"
"PCS",NA,"ES","2661384",6710352,NA,NA,NA,0.35195530726257,7434.03351955307,49.4681040892193,1,887128,2478.01117318436,16.4893680297398,"4","E.L. Haynes Kansas Avenue (Elementary School)"
"PCS",NA,"HS","5546488",6166776,NA,NA,NA,0.449848024316109,16858.6261398176,97.2505040941209,1,924414.666666667,2809.77102330294,16.2084173490202,"4","Capital City High School "
"PCS",NA,"MS","476160",2905320,NA,NA,NA,0.645161290322581,3072,24.6868519286603,1,476160,3072,24.6868519286603,"8","Excel Academy LEAD"
"PCS",620,"ES/MS","2824824",5941848,NA,NA,NA,0.110410094637224,8911.1167192429,69.2358823529412,1,706206,2227.77917981073,17.3089705882353,"5","Inspired Teaching Demonstration "
"PCS",897,"ES","3140088",7572576,NA,NA,NA,0.141089108910891,7772.49504950495,86.867544539117,1,785022,1943.12376237624,21.7168861347792,"5","Mundo Verde Bilingual "
"PCS",NA,"PK3-K","947496",2211792,NA,NA,NA,0.169491525423729,8029.62711864407,69.7714285714286,1,236874,2007.40677966102,17.4428571428571,"4","Shining Stars Montessori "
"PCS",398,"MS/HS","2883960",5716920,NA,NA,NA,0.737704918032787,9455.60655737705,102.998571428571,1,720990,2363.90163934426,25.7496428571429,"6","Richard Wright for Journalism and Media Arts"
"PCS",1062,"MS/HS","4551672",10327944,NA,NA,NA,0.0871143375680581,8260.74773139746,103.027954458,1,1517224,2753.58257713249,34.3426514860001,"6","Basis DC "
"PCS",203,"ES","1282032",3392664,NA,NA,NA,0.121546961325967,7083.04972375691,71.3190921228304,1,427344,2361.01657458564,23.7730307076101,"1","Creative Minds International "
"PCS",443,"ES","2641008",7291416,NA,NA,NA,0.647814910025707,6789.2236503856,85.1938064516129,1,880336,2263.07455012853,28.397935483871,"7","DC Scholars "
"PCS",73,"PK3-K","1182840",1124640,NA,NA,NA,0.0833333333333333,19714,131.792757660167,1,147855,2464.25,16.4740947075209,"6","AppleTree Early Learning Center Lincoln Park"
"DCPS",400,"ES","5993305",0,"5993305","Jefferson Acad. MS","Eastern HS",0.736231884057971,14983.2625,84.6512005649717,1,NA,NA,NA,"2","Amidon-Bowen Elementary"
"DCPS",438,"ES","0",12606000,"12606000","Kelly Miller MS","Woodson HS",0.786941580756014,0,0,1,NA,NA,NA,"7","C.W. Harris Elementary"
"DCPS",742,"MS","210957",40911043,"42653975","","Eastern HS",0.626459143968872,284.308625336927,1.36038098431696,1,NA,NA,NA,"6","Eliot-Hine Middle"
"DCPS",330,"ES","19157333",22284976,"43519223","Hardy MS","Wilson HS",0.0786885245901639,58052.5242424242,510.807727175768,1,NA,NA,NA,"2","Hyde-Addison Elementary"
"DCPS",480,"ES","4264356",0,"4264356","Stuart-Hobson MS","Eastern HS",0.497854077253219,8884.075,43.1196003882867,1,NA,NA,NA,"6","J.O. Wilson Elementary"
"DCPS",730,"MS","18602234",-5857,"20521528",NA,"Ballou HS",0.786941580756014,25482.5123287671,101.932283447308,1,NA,NA,NA,"8","Johnson Middle"
"DCPS",444,"ES","4118755",372458,"6567738","Hart MS","Ballou HS",0.879032258064516,9276.47522522523,62.8855960669354,1,NA,NA,NA,"8","King, M.L. Elementary"
"DCPS",500,"ES","19828246",0,"20824380","McKinley MS","Dunbar HS",0.561764705882353,39656.492,195.560261164589,1,NA,NA,NA,"5","Langdon Elementary"
"DCPS",400,"ES/MS","14206295",0,"14545500","","Coolidge HS",0.524355300859599,35515.7375,225.496746031746,1,NA,NA,NA,"4","LaSalle-Backus Education Campus"
"DCPS",362,"ES","11489803",-1026290,"11762825","Stuart-Hobson MS","Eastern HS",0.320588235294118,31739.7872928177,171.756203659412,1,NA,NA,NA,"6","Ludlow-Taylor Elementary"
"DCPS",350,"ALT","0",0,NA,"","",0,0,0,1,NA,NA,NA,"5","Luke Moore High"
"DCPS",324,"MS","3803375",12236000,"16039375",NA,"Wilson HS",NA,11738.8117283951,64.0298821548822,1,NA,NA,NA,"1","Oyster-Adams Bilingual School"
"DCPS",512,"HS","0",0,NA,"","",0.513931888544892,0,0,1,NA,NA,NA,"5","Phelps ACE High"
"DCPS",450,"ES","1365487",12028931,"16383000",NA,"",0.555555555555556,3034.41555555556,23.0656587837838,1,NA,NA,NA,"6","School-Within-School at Goding"
"DCPS",437,"ES/MS","1314689",20178000,"22278000","","Cardozo EC (9-12)",0.263285024154589,3008.44164759725,13.8260243143194,1,NA,NA,NA,"2","School Without Walls @ Francis-Stevens Education Campus"
"DCPS",450,"MS","44653267",1190116,"47666762","","Eastern HS",0.33806146572104,99229.4822222222,387.473898405095,1,NA,NA,NA,"6","Stuart-Hobson Middle"
"DCPS",700,"ES/MS","40442253",0,"40442253","","Dunbar HS",0.748387096774194,57774.6471428571,425.707926315789,1,NA,NA,NA,"6","Walker-Jones Education Campus"
"DCPS",587,"ES","2675972",30313978,"39400200","Stuart-Hobson MS","Eastern HS",0.196,4558.72572402044,38.6165435234357,1,NA,NA,NA,"6","Watkins Elementary"
"DCPS",540,"MS","58053351",-1202174,"62711400",NA,"Dunbar HS",NA,107506.205555556,527.757736363636,1,NA,NA,NA,"5","Brookland Middle"
"DCPS",350,"ES","0",0,NA,NA,"Wilson HS",NA,0,0,1,NA,NA,NA,"3","Oyster-Adams Bilingual School"
"DCPS",180,"SPED","32133707",-2200000,"35717175",NA,NA,NA,178520.594444444,413.52396823967,1,NA,NA,NA,"7","River Terrace Special Education Center"
"DCPS",336,"ES","10556642",17995000,"32448396","Jefferson Acad. MS","Eastern HS",NA,31418.5773809524,213.697206477733,1,NA,NA,NA,"6","Van Ness Elementary"
"DCPS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Youth Services Center"
"DCPS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"Incarcerated Youth Program"
"DCPS",NA,NA,"0",0,"0",NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Bowen"
"DCPS",NA,NA,"1499358",0," 	1,499,358 ",NA,NA,NA,NA,13.5443360433604,0,NA,NA,NA,NA,"Bruce Monroe (demolished)"
"DCPS",NA,NA,"1392424292",242169537,"1669108197",NA,NA,NA,NA,116.035357666667,1,NA,NA,NA,NA,"DCPS MultiSchool"
