"Agency","School","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","YearsOpen","Open","Open.Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
"DCPS","Marie Reed ES","2201 18th St. NW",470,"Phase 0",NA,"ES",162688,"STABILIZED",2970097,54503000,64904196,1,-77.040529953,38.919167306,1,"Col Hts. Ed. Campus (6-8)","Cardozo EC (9-12)",393,189,143,41,0.363867684478371,0.104325699745547,0.480916030534351,413.964376590331,6319.35531914894,18.2563987509835,NA,NA,1,NA,NA,NA
"DCPS","Maury ES","1250 Constitution Ave NE",300,"Phase I",2011,"ES",46800,"PARTIAL MOD",6444395,5044000,12620745,1,-76.988657501,38.89218486,6,"Eliot-Hine MS","Eastern HS",366,2,48,23,0.131147540983607,0.0628415300546448,0.00546448087431694,127.868852459016,21481.3166666667,137.700747863248,NA,NA,1,NA,NA,NA
"DCPS","Moten ES","1565 Morris Rd SE",480,"Full",2012,"ES",99696,"FULL MOD",27716993,0,27856881,1,-76.982943653,38.856657189,8,"Kramer MS","Anacostia HS",395,0,348,65,0.881012658227848,0.164556962025316,0,252.394936708861,57743.7354166667,278.01509589151,NA,NA,1,NA,NA,NA
"DCPS","Murch ES","4810 36th St  NW",488,"Phase 0",NA,"ES",47696,"STABILIZED",748083,63156000,68294774,1,-77.070079209,38.952933189,3,"Deal MS","Wilson HS",620,56,18,23,0.0290322580645161,0.0370967741935484,0.0903225806451613,76.9290322580645,1532.95696721311,15.6843970144247,NA,NA,1,NA,NA,NA
"DCPS","Nalle ES","219 50th St  SE",400,"Phase I",2012,"ES",83900,"PARTIAL MOD",11521407,0,11570572,1,-76.930796505,38.885954084,7,"Kelly Miller MS","Woodson HS",384,6,295,45,0.768229166666667,0.1171875,0.015625,218.489583333333,28803.5175,137.323087008343,NA,NA,1,NA,NA,NA
"DCPS","Noyes ES","2725 10th St  NE",391,"Full",2004,"ES",51496,"FULL MOD + ADD",24719301,0,24719301,1,-76.991842884,38.925177646,5,"Brookland MS","Dunbar HS",289,11,182,44,0.629757785467128,0.152249134948097,0.0380622837370242,178.186851211073,63220.7186700767,480.023710579462,NA,NA,1,NA,NA,NA
"DCPS","Miner ES","601 15th St  NE",550,"Full",2003,"ES",76896,"FULL REPLACEMENT",6391359,0,6391359,1,-76.982904319,38.897375681,6,"Eliot-Hine MS","Eastern HS",398,7,296,66,0.743718592964824,0.165829145728643,0.0175879396984925,193.206030150754,11620.6527272727,83.1169241573034,NA,NA,1,NA,NA,NA
"DCPS","Randle Highlands ES","1650 30th St  SE",450,"Full",2002,"ES",72476,"FULL REPLACEMENT",8391223,0,8391223,1,-76.964356283,38.870091402,7,"Kramer MS","Anacostia HS",360,3,228,49,0.633333333333333,0.136111111111111,0.00833333333333333,201.322222222222,18647.1622222222,115.779333848446,NA,NA,1,NA,NA,NA
"DCPS","Orr ES","2200 Minnesota Ave  SE",392,"Phase 0",NA,"ES",75900,"STABILIZED",0,41995000,44995000,1,-76.974484017,38.871796823,8,"Kramer MS","Anacostia HS",384,2,295,54,0.768229166666667,0.140625,0.00520833333333333,197.65625,0,0,NA,NA,1,NA,NA,NA
"DCPS","Patterson ES","4399 South Capitol Terr  SW",382,"Full",2004,"ES",76896,"FULL REPLACEMENT",5365870,0,5365870,1,-77.008484709,38.826966026,8,"Hart MS","Ballou HS",380,1,323,44,0.85,0.115789473684211,0.00263157894736842,202.357894736842,14046.780104712,69.7808728672493,NA,NA,1,NA,NA,NA
"DCPS","Payne ES","1445 C St SE",348,"Full",2016,"ES",83792,"FULL MOD",22389213,27450,27815086,1,-76.984194914,38.885132314,6,"Eliot-Hine MS","Eastern HS",277,5,165,30,0.595667870036101,0.108303249097473,0.0180505415162455,302.498194945848,64336.8189655172,267.199887817453,NA,NA,1,NA,NA,NA
"DCPS","Peabody ES","425 C St  NE",228,"Phase I",2013,"PK3-K",37800,"PARTIAL MOD",7028816,0,7099258,1,-76.999857987,38.892895991,6,"Stuart-Hobson MS","Eastern HS",227,4,16,10,0.0704845814977974,0.0440528634361234,0.0176211453744493,166.519823788546,30828.1403508772,185.947513227513,NA,NA,1,NA,NA,NA
"DCPS","Plummer ES","4601 Texas Ave  SE",448,"Phase I",2014,"ES",69392,"PARTIAL MOD",13846933,26191,14299544,1,-76.939934676,38.887239863,7,"Sousa MS","Anacostia HS",428,24,354,54,0.827102803738318,0.126168224299065,0.0560747663551402,162.130841121495,30908.3325892857,199.546532741526,NA,NA,1,NA,NA,NA
"DCPS","Powell ES","1350 Upshur St  NW",304,"Full",2016,"ES",76848,"FULL MOD + ADD",25490976,2504026,44744174,1,-77.031227422,38.941534009,4,"Col. Hts. EC (6-8)","Cardozo EC (6-12)",446,250,202,57,0.452914798206278,0.12780269058296,0.560538116591928,172.304932735426,83851.8947368421,331.706433479076,NA,NA,1,NA,NA,NA
"DCPS","Raymond EC","915 Spring Rd  NW",615,"Phase 0",NA,"ES/MS",73600,"STABILIZED",0,19567000,19567000,1,-77.02643266,38.935810871,4,"","Roosevelt HS",581,245,308,96,0.530120481927711,0.165232358003442,0.421686746987952,126.678141135972,0,0,NA,NA,1,NA,NA,NA
"DCPS","Ross ES","1730 R St  NW",176,"Phase I",2012,"ES",22400,"PARTIAL MOD",2604666,0,2612974,1,-77.039662145,38.912390814,2,"Cardozo EC (6-8)","Cardozo EC (9-12)",166,28,10,5,0.0602409638554217,0.0301204819277108,0.168674698795181,134.939759036145,14799.2386363636,116.279732142857,NA,NA,1,NA,NA,NA
"DCPS","Savoy ES","2400 Shannon Pl SE",430,"Full",2009,"ES",86800,"FULL MOD + ADD",21059646,0,21059646,1,-76.993604261,38.862851652,8,"Kramer MS","Anacostia HS",408,4,333,51,0.816176470588235,0.125,0.00980392156862745,212.745098039216,48975.9209302326,242.622649769585,NA,NA,1,NA,NA,NA
"DCPS","Seaton ES","1503 10th St  NW",325,"Phase I",2011,"ES",65000,"PARTIAL MOD",4298925,0,4302057,1,-77.024882467,38.910618362,6,"Cardozo EC (6-8)","Cardozo EC (9-12)",295,125,148,32,0.501694915254237,0.108474576271186,0.423728813559322,220.338983050847,13227.4615384615,66.1373076923077,NA,NA,1,NA,NA,NA
"DCPS","Shepherd ES","7800 14th St  NW",400,"Phase I",2016,"ES",79696,"FULL MOD + ADD",20462934,1274389,31576280,1,-77.033995228,38.984602949,4,"Hardy MS","Wilson HS",318,6,59,39,0.185534591194969,0.122641509433962,0.0188679245283019,250.616352201258,51157.335,256.762372013652,NA,NA,1,NA,NA,NA
"DCPS","Simon ES","401 Mississippi Ave  SE",325,"Phase I",2012,"ES",66192,"PARTIAL MOD",8505311,0,8672620,1,-77.000194997,38.835980202,8,"Hart MS","Ballou HS",293,2,227,38,0.774744027303754,0.129692832764505,0.0068259385665529,225.911262798635,26170.1876923077,128.494546168721,NA,NA,1,NA,NA,NA
"DCPS","Smothers ES","4400 Brooks St  NE",344,"Phase 0",NA,"ES",43000,"STABILIZED",152322,12679000,12831322,1,-76.938468639,38.893553701,7,"Kelly Miller MS","Woodson HS",275,6,203,30,0.738181818181818,0.109090909090909,0.0218181818181818,156.363636363636,442.796511627907,3.54237209302326,NA,NA,1,NA,NA,NA
"DCPS","Stanton ES","2701 Naylor Rd  SE",586,"Full",2016,"ES",95000,"FULL MOD + ADD",23307939,2165644,36035000,1,-76.968490227,38.859271774,8,"Kramer MS","Anacostia HS",578,0,502,94,0.868512110726644,0.162629757785467,0,164.359861591696,39774.6399317406,245.346726315789,NA,NA,1,NA,NA,NA
"DCPS","Stoddert ES","4001 Calvert St  NW",320,"Full",2010,"ES",65200,"FULL MOD + ADD",18707417,0,18707417,1,-77.079073796,38.923044313,3,"Hardy MS","Wilson HS",418,72,18,15,0.0430622009569378,0.0358851674641148,0.172248803827751,155.980861244019,58460.678125,286.923573619632,NA,NA,1,NA,NA,NA
"DCPS","Takoma EC","7010 Piney Branch Rd  NW",450,"Full",2012,"ES/MS",118992,"FULL MOD",26979598,0,27036559,1,-77.022794928,38.975042541,4,"","Coolidge HS",442,113,189,70,0.427601809954751,0.158371040723982,0.255656108597285,269.212669683258,59954.6622222222,226.734553583434,NA,NA,1,NA,NA,NA
"DCPS","Thomas ES","650 Anacostia Ave NE",474,"Phase I",2013,"ES",87600,"PARTIAL MOD",7563320,0,7572071,1,-76.952110911,38.901278637,7,"Kelly Miller MS","Woodson HS",408,6,295,44,0.723039215686274,0.107843137254902,0.0147058823529412,214.705882352941,15956.3713080169,86.3392694063927,NA,NA,1,NA,NA,NA
