Appendix 4: PCS Building Enrollment and Program Capacity Serving PK3-5th Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The following table shows the location of each school's building, its total enrollment, the number and share of enrollment that is just PK3-5, and programmatic capacities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward,Grades Served,"Total Building 
Enrollment, SY14-151","PK3-5th Enrollment, SY14-15",% of Enrollment that is PK3-5," Programmatic Capacity, SY14-152 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113/1211,Excel Academy PCS – DREAM;  Excel Academy PCS – LEAD,"2501 Martin Luther King Ave., SE",Ward 8,PK3-6th,724,673,93%,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361/362,Friendship PCS – Blow-Pierce Elementary;   Friendship PCS – Blow-Pierce Middle,"725 19th Street, NE",Ward 7,PK3-8th,592,446,75%,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363/364,Friendship PCS – Chamberlain Elementary;   Friendship PCS – Chamberlain Middle,"1345 Potomac Avenue, SE",Ward 6,PK3-8th,718,513,71%,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Friendship PCS – Southeast Elementary Academy,645 Milwaukee Place SE,Ward 8,PK3-5th,576,576,100%,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365/366,Friendship PCS – Woodridge Elementary;   Friendship PCS – Woodridge Middle,"2959 Carlton Avenue, NE",Ward 5,PK3-8th,452,354,78%,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Harmony DC PCS – School of Excellence ,62 T Street NE,Ward 5,KG-5th,66,66,100%,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Hope Community PCS – Tolson,2917 8th St NE,Ward 5,PK3-8th,517,446,86%,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Hope Community PCS – Lamond,6200 Kansas Avenue NE,Ward 4,PK3-5th,358,358,100%,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Ideal Academy PCS – North Capitol Street,6130 N Capitol St NW,Ward 4,PK3-8th,297,242,81%,372*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Ingenuity Prep PCS (co-locating with National Collegiate Prep PCS),4600 Livingston Rd SE,Ward 8,PK3-1st,201,201,100%,319***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,Inspired Teaching Demonstration PCS,200 Douglas Street NE,Ward 5,PK3-6th,317,304,96%,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116/1122/3071,KIPP DC – AIM Academy PCS; KIPP DC – Discover Academy PCS; KIPP DC – Heights Academy PCS,2600 Douglass Place SE,Ward 8,PK3-8th,"1,066",814,76%,"1,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209/214/242,KIPP DC – Connect Academy PCS; KIPP DC – Spring Academy PCS; KIPP DC – Northeast Academy PCS,1375 Mt Olivet Road NE,Ward 5,PK3-6th,529,457,86%,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129/190/121,KIPP DC – Grow Academy PCS; KIPP DC – Lead Academy PCS; KIPP DC – WILL Academy PCS,421 P St NW,Ward 6,PK3-8th,958,735,64%,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189/132/1121,KIPP DC – KEY Academy PCS; KIPP DC – LEAP Academy PCS;  KIPP DC – Promise Academy PCS,4801 Benning Rd SE,Ward 7,PK3-8th,"1,038",796,77%,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237/236,KIPP DC – Quest Academy PCS; KIPP DC – Arts and Technology Academy PCS,5300 Blaine Street NE,Ward 7,PK3-5th,494,494,100%,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Latin American Montessori Bilingual (LAMB) PCS – Missouri Ave (co-locating with Perry Street Prep PCS in the 1800 Perry St. building) ,1800 Perry Street NE,Ward 5,PK3-5th,342,342,100%,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1375 Missouri Ave NW,Ward 4,,,,100%,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Lee Montessori PCS,301 Douglas Street NE,Ward 5,PK3-1st,74,74,100%,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
