School Names,,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget
SHAW,Shaw Middle School (Closed),,"230,400",closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAW,"$10,000",$0,$0,"$10,000",$0.04,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$10,000"
Shepherd,Shepherd Elementary School," 	47,363 ","79,696","We have old sq. ft. at 50,721; new addition will bring total to 69,221; no portables on site",," 	15,775,668 ",0.89%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,0.25%,2.65%,1.12%,0.46%,1.22%,2013,1.40%,0.00638736817639071,5,1.50,4,SHEPHERD,"$10,366,110","$6,720,106","$3,376,717","$20,462,934",$256.76,$0,"$1,274,389",$0,$0,$0,$0,$0,"$1,274,389",$15.99,"$31,576,280"
Simon,Simon Elementary School," 	59,891 ","66,192",,," 	19,948,494 ",3.37%,Good,1,Good,1,Poor,5,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.82,1,SIMON,"$7,641,148","$714,288","$149,874","$8,505,311",$128.49,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,672,620"
Smothers,Smothers Elementary School," 	40,746 ","43,000",,," 	13,571,678 ",1.62%,Fair,3,N/A,FALSE,Good,1,Poor,5,Fair,3,Poor,5,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Fair,3,Fair,3,N/A,FALSE,No,1.54%,0.00%,0.04%,0.00%,1.30%,2013,0.05%,0.000843441781473254,5,2.57,4,SMOTHERS,"$152,322",$0,$0,"$152,322",$3.54,$0,$0,$0,$0,$0,"$12,679,000",$0,"$12,679,000",$294.86,"$12,831,322"
Sousa,Sousa Middle School," 	114,073 ","136,000","We have Sousa minus the unused portion (22,000) at 136,000; maybe 114,073 accounts for a closed off floor?",," 	37,995,435 ",1.99%,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.59,1,,,,,$0,$0.00,,,,,,,,$0,$0.00,
Stanton,Stanton Elementary School," 	55,342 ","95,000","Deanna Newman provided 95,000 for the modernized Stanton in 2015.",," 	18,433,313 ",8.07%,Good,1,Good,1,Poor,5,Poor,5,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,No,,,,,,,,,5,2.00,4,STANTON,$0,"$14,909,415","$8,398,524","$23,307,939",$245.35,$0,"$2,165,644",$0,$0,$0,$0,$0,"$2,165,644",$22.80,"$36,035,000"
Stoddert,Stoddert Elementary School," 	86,625 ","65,200","Opening brochure says ""the original 17,900 sq.ft. bldg. has been complemented and completed by a 47,300 square foot addition.""   Ed Comm data (2015) gives 86,625 for Stoddert but this includes demountables. Does the 47,300 include the gym shared with Rec?",," 	28,853,055 ",0.01%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,2,STODDERT,"$18,707,417",$0,$0,"$18,707,417",$286.92,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$18,707,417"
STUART HOBSON,Stuart Hobson Middle School," 	110,837 ","115,242","115,242 includes new addition",," 	36,917,588 ",0.31%,Good,1,Good,1,Poor,5,Poor,5,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.00,4,STUART HOBSON,"$19,369,940","$14,663,600","$10,619,726","$44,653,267",$387.47,$0,"$1,190,116",$0,$0,$0,$0,$0,"$1,190,116",$10.33,"$47,666,762"
Takoma,Takoma Education Campus," 	119,436 ","118,992",,," 	39,781,743 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,No,,,,,,,,,5,1.27,3,TAKOMA,"$26,891,399",$0,"$88,199","$26,979,598",$226.73,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$27,036,559"
Thomas,Thomas Elementary School," 	74,826 ","87,600",,," 	24,923,044 ",0.57%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,N/A,FALSE,Fair,3,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.80,3,THOMAS,"$7,330,000","$233,320",$0,"$7,563,320",$86.34,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$7,572,071"
Thomson,Thomson Elementary School," 	135,050 ","74,992","OPEFM has 100,000 which included parking and covered and rooftop play spaces; 74,992 came from DCPS in 2012.  74,992 may be functional square footage.",," 	44,982,454 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,Good,1,No,,,,,,,,,5,1.50,3,THOMSON,"$25,521,091",$0,$0,"$25,521,091",$340.32,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$25,521,091"
Truesdell,Truesdell Education Campus," 	78,964 ","69,600",,," 	26,301,329 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Poor,5,No,,,,,,,,,5,1.50,1,TRUESDELL,"$4,465,045",$0,$0,"$4,465,045",$64.15,$0,$0,$0,$0,"$649,000","$6,840,000",$0,"$7,489,000",$107.60,"$11,954,045"
Tubman,Tubman Elementary School," 	83,462 ","66,592",,," 	22,183,128 ",0.43%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.50,2,TUBMAN,"$3,644,743",$0,$0,"$3,644,743",$54.73,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$3,644,743"
Turner,Turner Elementary School," 	101,093 ","101,093","We had 77,488 but 101,093 reflects a gym addition to Turner.  Does this belong to DC Rec or DCPS?",," 	33,672,056 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1,TURNER,"$27,580,545",$0,$0,"$27,580,545",$272.82,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$27,695,424"
Tyler,Tyler Elementary School," 	72,954 ","69,600",,," 	23,182,368 ",3.71%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.38,5,TYLER,"$3,750,929",$0,$0,"$3,750,929",$53.89,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$3,750,929"
VAN NESS,Van Ness Elementary School,,"49,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAN NESS,$0,$0,"$10,556,642","$10,556,642",$213.70,"$17,995,000",$0,$0,$0,$0,$0,$0,"$17,995,000",$364.27,"$32,448,396"
W Wilson,Wilson High School," 	406,854 ","376,448","check:  406,854 must include the pool - - 54,765 sq. ft. ",," 	135,514,930 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,1.00,W WILSON,"$114,246,156",$0,$0,"$114,246,156",$303.48,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$114,320,882"
WALKER JONES,Walker Jones Education Campus," 	114,942 ","95,000","Check: Forrester Const. PR says 5,000 sq ft. Library and 20,000 sq ft. recreation center, 100,000 sq. ft school.   We have Walker-Jones at 95,000.  Or is the Early Stages OSSE intake center discounted?",," 	38,284,881 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,5,WALKER JONES,"$40,463,443","-$21,189",$0,"$40,442,253",$425.71,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$40,442,253"
Washington-Metro,Washington Metropolitan High School," 	65,029 ","49,496",,," 	21,659,859 ",5.37%,Fair,3,Fair,3,Poor,5,Poor,5,Fair,3,Fair,3,Good,1,Poor,5,Good,1,Fair,3,N/A,FALSE,Poor,5,Good,1,Good,1,Fair,3,Good,1,No,,,,,,,,,5,3.00,5,WASHINGTON-METRO,$0,$0,$0,$0,$0.00,$0,$0,$0,$0,$0,$0,"$9,900,000","$9,900,000",$200.02,"$9,900,000"
Watkins,Watkins Elementary School," 	62,970 ","69,296",,," 	20,974,048 ",6.03%,Fair,3,N/A,FALSE,Poor,5,Poor,5,Fair,3,Fair,3,Good,1,Fair,3,Good,1,Fair,3,N/A,FALSE,Good,1,Poor,5,Good,1,Fair,3,Fair,3,No,1.98%,0.73%,0.20%,0.47%,4.30%,2013,0.24%,0.0405284652829719,5,3.00,2,WATKINS,$0,$0,"$2,675,972","$2,675,972",$38.62,"$20,549,000","-$586,022","$10,351,000",$0,$0,$0,$0,"$30,313,978",$437.46,"$39,400,200"
West,West Education Campus," 	91,389 ","69,642",,," 	30,439,848 ",0.03%,Fair,3,N/A,FALSE,Fair,3,Poor,5,Fair,3,Fair,3,Good,1,N/A,FALSE,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Fair,3,Good,1,Fair,3,No,0.01%,0.03%,0.01%,0.00%,0.05%,2013,0.00%,0.000152333217357722,5,2.57,2,WEST,$0,$0,$0,$0,$0.00,$0,$0,$0,$0,"$3,000,000","$19,257,000","$12,838,000","$35,095,000",$503.93,"$35,095,000"
Wheatley,Wheatley Education Campus," 	94,773 ","86,368","91,389 may reflect the expanded gym.",," 	31,566,991 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,1,WHEATLEY,"$42,645,563",$0,$0,"$42,645,563",$493.77,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$42,645,768"
Whittier,Whittier Education Campus," 	63,516 ","71,092","71,092 probably includes the cafeteria addition.",," 	21,155,909 ",0.10%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,,WHITTIER,"$5,208,611",$0,$0,"$5,208,611",$73.27,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,241,031"
WILKINSON,Wilkinson Elementary School (Closed),,"144,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILKINSON,"$500,000",$0,$0,"$500,000",$3.45,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$500,000"
WOODSON,Woodson High School,,"253,406",,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODSON,"$107,674,208","$67,925",$0,"$107,742,134",$425.18,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$107,779,131"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,"$3,687,866,650",,"$344,756,899","$7,925,819","$272,275,500","$122,715,375","$211,836,005","$206,164,000","$130,673,251","$1,296,346,849",,"$5,308,667,552"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
