Sector,LEA ID,LEA Name,School ID,School Name,Total Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Alternative,SPED Program,Limited English Proficient,Level 1,Level 2,Level 3,Level 4,At_Risk
Charters,130,Latin American Montessori Bilingual (LAMB) PCS,193,Latin American Montessori Bilingual (LAMB) PCS,342,47,62,60,53,43,27,32,18,0,0,0,0,0,0,0,0,0,0,129,19,13,3,3,40
Charters,117,Eagle Academy PCS,195,Eagle Academy PCS - Eagle Center at McGogney,774,165,152,142,129,111,75,0,0,0,0,0,0,0,0,0,0,0,0,2,40,20,5,18,466
Charters,115,D.C. Preparatory Academy PCS,196,D C  Preparatory Edgewood Middle Campus PCS,294,0,0,0,0,0,0,75,70,68,49,32,0,0,0,0,0,0,0,1,7,12,19,8,101
Charters,174,Sela PCS,197,Sela PCS,86,0,26,34,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,0,2,24
Charters,149,Two Rivers PCS,198,Two Rivers PCS,518,36,45,50,50,50,50,50,50,48,48,41,0,0,0,0,0,0,0,20,49,30,20,8,126
Charters,114,D.C. Bilingual PCS,199,D C  Bilingual PCS,364,44,48,47,45,44,35,42,59,0,0,0,0,0,0,0,0,0,0,180,34,10,1,11,130
Charters,173,Ingenuity Prep PCS,200,Ingenuity Prep PCS,201,24,49,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,1,148
DCPS,001,District of Columbia Public Schools,202,Aiton ES,262,35,42,45,33,30,32,20,25,0,0,0,0,0,0,0,0,0,0,1,26,8,0,4,214
DCPS,001,District of Columbia Public Schools,203,Amidon Bowen  ES,345,31,34,49,45,50,55,46,35,0,0,0,0,0,0,0,0,0,0,6,33,27,3,5,254
DCPS,001,District of Columbia Public Schools,204,Bancroft ES,508,49,64,71,70,68,71,50,65,0,0,0,0,0,0,0,0,0,0,279,31,11,1,11,181
DCPS,001,District of Columbia Public Schools,205,Barnard ES,602,60,76,84,98,85,81,71,47,0,0,0,0,0,0,0,0,0,0,193,45,12,3,12,284
DCPS,001,District of Columbia Public Schools,206,Beers ES,438,41,58,58,70,46,58,42,65,0,0,0,0,0,0,0,0,0,0,1,27,25,2,44,243
Charters,129,KIPP DC PCS,209,KIPP DC Connect Academy,301,100,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4,0,0,159
Charters,153,William E. Doar Jr PCS,210,William E. Doar Jr PCS,439,38,56,50,60,39,47,43,26,37,18,25,0,0,0,0,0,0,0,13,14,13,5,3,223
DCPS,001,District of Columbia Public Schools,212,Brent ES,368,29,40,62,59,62,58,47,11,0,0,0,0,0,0,0,0,0,0,5,20,1,0,1,23
DCPS,001,District of Columbia Public Schools,213,Brightwood EC,639,37,50,62,80,92,55,49,60,57,46,51,0,0,0,0,0,0,0,379,51,13,1,2,302
Charters,129,KIPP DC PCS,214,KIPP DC Spring Academy,102,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,60
Charters,176,Community College Preparatory Academy PCS,216,Community College Preparatory Academy PCS,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,1,0,0,0,0
Charters,155,Achievement Preparatory Academy PCS,217,Achievement Preparatory PCS-Elementary,267,0,0,67,79,56,65,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,1,4,132
Charters,115,D.C. Preparatory Academy PCS,218,D C Preparatory Benning Middle Campus,152,0,0,0,0,0,0,76,76,0,0,0,0,0,0,0,0,0,0,1,9,8,3,2,67
DCPS,001,District of Columbia Public Schools,220,Burroughs EC,297,32,30,37,36,24,31,29,23,18,24,13,0,0,0,0,0,0,0,14,20,16,1,26,156
DCPS,001,District of Columbia Public Schools,221,Burrville ES,360,44,52,62,53,45,47,29,28,0,0,0,0,0,0,0,0,0,0,2,20,8,0,0,244
Charters,138,Paul PCS,222,Paul Public Charter School - International High School,325,0,0,0,0,0,0,0,0,0,0,0,129,123,73,0,0,0,0,24,9,25,7,1,159
DCPS,001,District of Columbia Public Schools,224,Cleveland ES,308,35,44,42,41,44,38,40,24,0,0,0,0,0,0,0,0,0,0,47,20,8,0,0,137
