Facility Name,Facility ID,ES Feeder,MS Feeder,HS Feeder,Address Line 1,Address Line 2,City,State,Zip Code,Year Built,Age,Building Sq Footage,Acres,Site Sq Footage,FacilityTypeCode,KeyID,Building Zoning,"School Additions, Modernization",General Comments,Enrollment Capacity,Percent Utilized 2008-2009,Grade Start,Grade End,Building Type,FacilityType
LANGDON,262,,McKinley MS,Dunbar HS,"1900 Evarts Street, N.E.",,WASHINGTON,DC,20018-1350,1930,80,101400,2.42,105390,K8,LANGX0677,R-1-B,"1960, 1972",,528,82,PreS,8th,Active School,SCHOOL
LANGLEY,134,,McKinley MS,Dunbar HS,CLOSED,1st & T STREET NE,WASHINGTON,DC,,1923,87,110100,0,0,LEASED,LANGX0678,,,,0,0,,,Leased,LEASED
MCKINLEY  MS,458,,,Dunbar HS,"152 T St. , NE",,,,,,,,,,,,,,,,,,,,
NOYES,290,,Brookland MS,Dunbar HS,"2725 10th Street, N.E.",,WASHINGTON,DC,20018-1754,1931,79,51500,3.66,159261,K8,NOYEX0705,R-2,"1940, 1960, modernization and addition 2004",,360,93,PreS,5th,Active School,SCHOOL
WASHINGTON METROPOLITAN HS (LEWIS),123,,,,SWING,300 BRYANT STREET NW,WASHINGTON,DC,20001,1962,48,49500,0.95,41300,CLOSED,LEWIX0684,,,,0,0,,,Swing Space,CLOSED
WHEATLEY,337,,,Dunbar HS,"1299 Neal Street, N.E.",,WASHINGTON,DC,20002-3800,1903,107,86375,2.33,101541,K8,WHEAX0771,R-4,"1922, 1929, 1967, complete modernization & addition  2009 ",,442,82,PreS,8th,Active School,SCHOOL
Walker Jones EC,332,,,Dunbar HS,"1125 New Jersey Ave., NW",,WASHINGTON,DC,20001,2009,1,95000,0,0,K8,WALKX0921,,"2009, New Replacement school",,450,0,PreS,8th,Active School,SCHOOL
AMIDON-BOWEN,203,,Jefferson Acad. MS,Eastern HS,"401 Eye Street, S.W.",,WASHINGTON,DC,20024-4498,1960,50,70800,4.84,210830,ELEM,AMIDX0586,R-3,1975,,438,76,PreK,5th,Active School,SCHOOL
BRENT,212,,Jefferson Acad. MS,Eastern HS,"301 North Carolina, SE",,WASHINGTON,DC,20003-1907,1968,42,47500,1.11,48519,ELEM,BRENX0600,R-4,N/A,,276,89,PreK,5th,Active School,SCHOOL
BROWNE PK3-8,404,,,Eastern HS,"850 26th Street, N.E.",,WASHINGTON,DC,20002-3269,1932,78,215400,4.13,180000,K8,BROWX0603,R-5-B,"1953, 1971",,832,59,PreS,8th,Active School,SCHOOL
