,,,,,,,,,,,,,,,,,(DCPS ACR II) 2012 ACR A10: Foundations,(DCPS ACR II) 2012 ACR A20: Basement Construction,(DCPS ACR II) 2012 ACR B20: Exterior Enclosure,(DCPS ACR II) 2012 ACR B30: Roofing,(DCPS ACR II) 2012 ACR C10: Interior Construction,(DCPS ACR II) 2012 ACR C20: Stairs,(DCPS ACR II) 2012 ACR C30: Interior Finishes,(DCPS ACR II) 2012 ACR D10: Conveying Systems,(DCPS ACR II) 2012 ACR D20: Plumbing,(DCPS ACR II) 2012 ACR D30: HVAC,(DCPS ACR II) 2012 ACR D40: Fire Protection Systems,(DCPS ACR II) 2012 ACR D50: Electrical Systems,(DCPS ACR II) 2012 ACR F10: Special Construction,(DCPS ACR II) 2012 ACR F20: Selective Demolition,(DCPS ACR II) 2012 ACR G10: Site Preparation,(DCPS ACR II) 2012 ACR G20: Site Improvements,(DCPS ACR II) 2012 ACR G30: Site Civil/Mechanical Utilities,(DCPS ACR II) 2012 ACR G40: Site Electrical Utilities,(DCPS ACR II) 2012 ACR Z10: General Requirements,,,,,,,,,
,Agency,#,Name,GSF (building),Program #,School Name,School Address,"SY2014-15 Audited 
Enrollment ",SY2015-16 Permanent Capacity,SY2015-16 Portable Capacity,Total Capacity (Permanent + Portable),"SY2014-15
Utilization                  (Includes Portable Capacity)",2014-15 GSF per student,Plan to Address High/Low Utilization ,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Basement Construction, Exterior Enclosure, Roofing,Interior Construction,Stairs,Interior Finishes,Conveying Systems,Plumbing,HVAC,Fire Protection Systems,Electrical Systems,Special Construction,Selective Demolition,Site Preparation,Site Improvements,Site Civil/ Mechanical Utilities,Site Electrical Utilities,General Requirements,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,
4d32119c-aa87-4e41-9fd8-7e965625a7cc,DCPS,34,H.D. Cooke Elementary School," 	78,473 ",227,H.D. Cooke ES,2525 17th St NW,402,440,0,440,91%,195,," 	26,137,787 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
44b47033-2f31-4465-b153-af274d4a2a81,DCPS,35,Hamilton Center," 	191,174 ",,Hamilton Center,,,,,,,,," 	63,676,236 ",22.12%,Good,Good,Poor,Poor,Poor,Good,Good,N/A,Fair,Poor,Good,Poor,N/A,N/A,N/A,Fair,Fair,Poor,Good,No,,,,,,,,
077b98ba-58b1-47d0-ac1b-8bbf011a1296,DCPS,36,Hardy Middle School," 	106,341 ",246,Hardy MS,1819 35th St  NW,386,485,0,485,80%,275,," 	35,420,060 ",0.00%,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,N/A,Good,Good,Good,Fair,No,,,,,,,,
497bdcc8-5bf7-44e9-aee4-8313e15a397b,DCPS,37,Hart Middle School," 	149,164 ",413,Hart MS,601 Mississippi Ave  SE,480,912,0,912,53%,311,," 	49,683,545 ",1.12%,Fair,Good,Poor,Good,Good,Good,Good,N/A,Good,Good,N/A,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,1.11%,0.01%,0.00%,0.00%,0.80%,2013,0.00%,0.000104501399557134
66af8131-125c-4db1-a875-9f473dc1ece2,DCPS,38,Hearst Elementary School," 	17,213 ",258,Hearst ES*,3950 37th St  NW,292,330,0,330,88%,59,The capacity of the building will be 330 in the Winter of 2015.," 	5,733,306 ",1.62%,Good,Good,Good,Good,Fair,Good,Good,Poor,Good,Good,N/A,Poor,N/A,N/A,N/A,Good,Good,Good,N/A,No,,,,,,,,
7f164763-bd07-4be1-9c7d-6a6d212438b4,DCPS,39,Hendley Elementary School," 	66,329 ",249,Hendley ES,425 Chesapeake St  SE,504,520,0,520,97%,132,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	22,092,863 ",15.43%,Good,N/A,Good,Good,Good,Good,Good,Fair,Good,Good,N/A,Good,N/A,N/A,N/A,Good,Poor,Good,Good,No,0.01%,0.03%,0.00%,0.11%,0.41%,2013,0.01%,0.154120152769768
ffc84945-2415-4671-9c96-8eb788654631,DCPS,40,Houston Elementary School," 	48,544 ",251,Houston ES,1100 50th Pl  NE,279,398,0,398,70%,174,," 	16,169,036 ",7.95%,Good,N/A,Poor,Fair,Good,Fair,Poor,N/A,Fair,Fair,N/A,Fair,N/A,N/A,N/A,Good,Good,Good,Good,No,0.30%,1.52%,1.78%,0.00%,2.03%,2013,0.00%,0.0765369677411656
60eb1fba-5d29-4f0a-b097-0527b8fce9de,DCPS,41,Hyde-Addison Elementary School," 	19,386 ",252,Hyde-Addison ES,3219 O St  NW,306,330,0,330,93%,63,," 	6,457,089 ",2.23%,Good,Good,Fair,Fair,Good,Good,Good,Poor,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,1.40%,0.68%,0.93%,0.00%,1.24%,2013,0.00%,0.0082695593931487
2f8274a7-83e7-40b1-8b4c-097702e7ff72,DCPS,42,J.O. Wilson Elementary School," 	97,825 ",339,J.O. Wilson ES,660 K Street NE,466,480,0,480,97%,210,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	32,583,551 ",0.97%,Good,Good,Good,Good,Good,Poor,Good,Unsatisfactory,Good,Fair,N/A,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
81fb2172-759b-4c81-adb9-4f7873afc112,DCPS,43,Janney Elementary School," 	71,785 ",254,Janney ES,4130 Albemarle St  NW,695,700,0,700,99%,103,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	23,910,148 ",0.00%,Good,N/A,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
49a39cb1-799d-40e7-ad3b-707b8bb4d683,DCPS,44,Jefferson Middle School," 	103,576 ",433,Jefferson MS,801 7th St SW,278,570,0,570,49%,373,"DCPS expects  that the enrollment will increase at Jefferson with the opening of Van Ness, which will be a new feeder school to Jefferson MS.  DCPS currently leases space on the property to Apple Tree for demountable classroom use."," 	34,499,094 ",1.53%,Good,Good,Fair,Fair,Poor,Good,Fair,Poor,Fair,Poor,N/A,Fair,N/A,N/A,N/A,Fair,Good,Good,Fair,No,0.16%,0.88%,0.02%,0.00%,2.32%,2013,0.00%,0.0136869566170359
3f3300ef-66e3-4a64-bf82-405248f92955,DCPS,45,John Hayden Johnson Middle School," 	170,451 ",416,"Johnson, John Hayden MS",1400 Bruce Pl  SE,292,730,0,730,40%,584,"DCPS is committed to putting unique alternative programming at the school to increase interest in the program.  The idea of closing the program was discussed in the past but safety concerns were raised about students crossing busy streets, which still exist. "," 	56,773,819 ",5.41%,Good,Poor,Poor,Poor,Good,Poor,Good,Poor,Fair,Good,N/A,Poor,N/A,N/A,N/A,Poor,Good,Good,Good,No,,,,,,,,
79fb58cb-1448-49f9-9173-68437bfa2e25,DCPS,46,Kelly Miller Middle School," 	120,265 ",421,Kelly Miller MS,301 49th St  NE,549,600,120,720,76%,219,," 	40,057,866 ",0.02%,Good,N/A,Good,Poor,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Fair,No,,,,,,,,
7ffc0f87-bf50-4598-a94b-59af3e42ac66,DCPS,47,Kenilworth Elementary School," 	60,694 ",,Kenilworth Elementary School,,,,,,,,," 	20,215,958 ",1.48%,Good,Good,Good,Poor,Good,Good,Fair,N/A,Fair,Good,Good,Fair,N/A,N/A,N/A,Fair,Fair,Good,Good,No,,,,,,,,
518e13d5-475f-496f-9601-ae583e6a48da,DCPS,48,Ketcham Elementary School," 	92,343 ",257,Ketcham ES,1919 15th St  SE,309,325,0,325,95%,299,DCPS will monitor enrollment to ensure a satisfactory learning environment is provided for students. ," 	30,757,606 ",0.15%,Good,N/A,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,N/A,N/A,N/A,Fair,Good,Good,Good,No,,,,,,,,
bdfde0b0-bc83-4a2c-bac9-4dabcd346240,DCPS,49,Key Elementary School," 	63,290 ",272,Key ES,5001 Dana Pl  NW,383,364,44,408,94%,165,," 	21,080,633 ",0.00%,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
1a3904ae-efe7-4b6d-a4dd-cd73bc7d3e2a,DCPS,50,Kimball Elementary School," 	72,274 ",259,Kimball ES,3375 Minnesota Ave  SE,348,398,0,398,87%,208,," 	24,073,024 ",2.17%,Good,Good,Fair,Poor,Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,N/A,N/A,N/A,Fair,Good,Good,Poor,No,1.00%,4.40%,0.16%,0.04%,0.43%,2013,0.00%,0.0117016462466922
d81fc14f-c2c6-4762-bfbc-1cf52f91c80c,DCPS,51,King Elementary School," 	61,737 ",344,"King, M.L. ES",3200 6th St  SE,372,444,0,444,84%,166,," 	20,563,360 ",0.00%,Good,Good,Good,Good,Good,Good,Good,N/A,Good,Good,Good,Good,N/A,N/A,N/A,Good,Good,Good,Good,No,,,,,,,,
c6284322-b61c-44e9-8950-35ebcd20bd1a,DCPS,52,Kramer Middle School," 	131,865 ",417,Kramer MS,1700 Q St  SE,337,600,0,600,56%,391,," 	43,921,594 ",0.11%,Good,Good,Fair,Fair,Good,Good,Good,Poor,Good,Good,N/A,Good,N/A,N/A,N/A,Fair,Good,Good,Fair,No,0.00%,0.30%,1.22%,0.00%,1.52%,2013,0.52%,0.00107612669487302
