School_ID,Agency,Address,maxOccupancy,Level,totalSQFT,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,FeederMS,Total_Enrolled,Limited_English,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,Open_Now,ProjectPhase,YrComplete,ProjectType,FeederHS,longitude,latitude,Ward,School
413,DCPS,601 Mississippi Ave  SE,912,MS,210700,13075759,0,13214760,NA,479,0,393,128,0.82045929,0.267223382,0,440,14337.45504,62.05865686,1,Phase I,2011,Partial Modernization,Ballou HS,-76.9972081,38.8375662,8,Hart Middle
258,DCPS,3950 37th St  NW,330,ES,62309,35678706,361277,43433519,Deal MS,291,28,39,25,0.134020619,0.085910653,0.096219931,214,108117.2909,572.6091897,1,Full,2015,Full Modernization,Wilson HS,-77.0717568,38.9405368,3,Hearst Elementary
249,DCPS,425 Chesapeake St  SE,520,ES,73200,15937127,0,16150915,Hart MS,503,0,453,84,0.900596421,0.166998012,0,146,30648.32115,217.7203142,1,Phase I,2013,Partial Modernization,Ballou HS,-76.9991386,38.8286428,8,Hendley Elementary
251,DCPS,1100 50th Pl  NE,398,ES,59896,1191032,15693000,16943000,Kelly Miller MS,279,3,209,40,0.749103943,0.143369176,0.010752688,215,2992.542714,19.88500067,1,Phase 0,NA,Stabilized,Woodson HS,-76.9302932,38.9054178,7,Houston Elementary
252,DCPS,3219 O St  NW,330,ES,37504,19157333,22284976,43519223,Hardy MS,305,29,24,25,0.078688525,0.081967213,0.095081967,123,58052.52424,510.8077272,1,Phase I,2014,Full Modernization,Wilson HS,-77.0648106,38.9081992,2,Hyde-Addison Elementary
339,DCPS,660 K Street NE,480,ES,98896,4264356,0,4264356,Stuart-Hobson MS,466,6,232,47,0.497854077,0.100858369,0.012875536,212,8884.075,43.11960039,1,Phase I,2010,Partial Modernization,Eastern HS,-76.9969383,38.9029977,6,J.O. Wilson Elementary
254,DCPS,4130 Albemarle St  NW,700,ES,96083,37443325,0,37949758,Deal MS,693,30,8,38,0.011544012,0.054834055,0.043290043,139,53490.46429,389.6977093,1,Full,2011,Full Modernization,Wilson HS,-77.0812196,38.9474491,3,Janney Elementary
416,DCPS,1400 Bruce Pl  SE,730,MS,182496,18602234,-5857,20521528,NA,291,3,229,103,0.786941581,0.35395189,0.010309278,627,25482.51233,101.9322834,1,Phase I,2013,Partial Modernization,Ballou HS,-76.9836523,38.8511843,8,Johnson Middle
421,DCPS,301 49th St  NE,600,MS,114992,34578507,0,34578507,,546,7,382,146,0.6996337,0.267399267,0.012820513,211,57630.845,300.7035881,1,Full,2004,Full Replacement,Woodson HS,-76.9321175,38.8933117,7,Kelly Miller Middle
257,DCPS,1919 15th St  SE,325,ES,88288,8328691,0,8336451,Kramer MS,309,0,265,37,0.857605178,0.1197411,0,286,25626.74154,94.33548161,1,Phase I,2012,Partial Modernization,Anacostia HS,-76.9836485,38.8660524,8,Ketcham Elementary
272,DCPS,5001 Dana Pl  NW,364,ES,50000,13007488,0,13007488,Hardy MS,383,28,12,27,0.031331593,0.070496084,0.07310705,131,35734.85714,260.14976,1,Full,2003,Full Modernization,Wilson HS,-77.100542,38.926599,3,Key Elementary
259,DCPS,3375 Minnesota Ave  SE,398,ES,83392,0,17696000,17696000,Sousa MS,348,0,268,48,0.770114943,0.137931034,0,240,0,0,1,Phase 0,NA,Stabilized,Anacostia HS,-76.9575142,38.8828821,7,Kimball Elementary
344,DCPS,3200 6th St  SE,444,ES,65496,4118755,372458,6567738,Hart MS,372,2,327,55,0.879032258,0.147849462,0.005376344,176,9276.475225,62.88559607,1,Phase 0,NA,Stabilized,Ballou HS,-76.9980914,38.8425064,8,"King, M.L. Elementary"
417,DCPS,1700 Q St  SE,600,MS,153984,30951777,0,35059047,NA,333,0,267,110,0.801801802,0.33033033,0,462,51586.295,201.0064487,1,Phase I,2014,Partial Modernization,Anacostia HS,-76.9799006,38.8717022,8,Kramer Middle
261,DCPS,5701 Broad Branch Rd  NW,516,ES,113600,9939007,59373105,78650000,Deal MS,697,21,19,47,0.027259684,0.067431851,0.030129125,163,19261.64147,87.4912588,1,Full,2016,Full Modernization,Wilson HS,-77.0679076,38.9664459,4,Lafayette Elementary
262,DCPS,1900 Evarts St  NE,500,ES,101392,19828246,0,20824380,McKinley MS,340,17,191,56,0.561764706,0.164705882,0.05,298,39656.492,195.5602612,1,Phase I,2015,Partial Modernization,Dunbar HS,-76.9774768,38.9249969,5,Langdon Elementary
370,DCPS,101 T Street NE,530,ES,100000,10253618,0,10273670,McKinley MS,297,3,185,44,0.622895623,0.148148148,0.01010101,337,19346.44906,102.53618,1,Phase II,2011,Partial Modernization,Dunbar HS,-77.005475,38.914235,5,Langley Elementary
264,DCPS,501 Riggs Road NE,400,ES/MS,63000,14206295,0,14545500,,349,106,183,50,0.524355301,0.143266476,0.303724928,181,35515.7375,225.496746,1,Phase I,2012,Partial Modernization,Coolidge HS,-76.9997759,38.9597849,4,LaSalle-Backus Education Campus
266,DCPS,4201 M L  King Ave  SW,480,ES,65000,595860,0,595860,Hart MS,478,8,226,53,0.472803347,0.110878661,0.016736402,136,1241.375,9.167076923,1,Phase I,2012,Partial Modernization,Ballou HS,-77.0132599,38.8282308,8,Leckie Elementary
271,DCPS,659 G St  NE,362,ES,66896,11489803,-1026290,11762825,Stuart-Hobson MS,340,3,109,31,0.320588235,0.091176471,0.008823529,197,31739.78729,171.7562037,1,Phase I,2013,Partial Modernization,Eastern HS,-76.9963992,38.8985144,6,Ludlow-Taylor Elementary
884,DCPS,1001 Monroe St NE,350,ALT,65528,16352780,0,NA,,350,2,0,41,0,0.117142857,0.005714286,187,46722.22857,249.5540838,1,Full,2006,Full Modernization,City-Wide,-76.992102,38.93199,5,Luke Moore High
NA,DCPS,4400 Iowa Ave NW,NA,MS,11000,874564,50026000,53650564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.50581818,0,NA,NA,Stabilized,NA,-77.0273427,38.9439461,4,Macfarland
273,DCPS,4430 Newark St NW,370,ES,60969,34565362,-500000,37197238,Hardy MS,302,34,4,12,0.013245033,0.039735099,0.112582781,202,93419.8973,566.9333924,1,Full,2015,Full Modernization,Wilson HS,-77.087418,38.934026,3,Mann Elementary
284,DCPS,2201 18th St. NW,470,ES,162688,2970097,54503000,64904196,Col Hts. Ed. Campus (6-8),393,189,143,41,0.363867684,0.1043257,0.480916031,414,6319.355319,18.25639875,1,Phase 0,2017,Full Modernization,Cardozo HS (9-12),-77.0416361,38.9183938,1,Marie Reed Elementary
274,DCPS,1250 Constitution Ave NE,300,ES,46800,6444395,5044000,12620745,Eliot-Hine MS,366,2,48,23,0.131147541,0.06284153,0.005464481,128,21481.31667,137.7007479,1,Phase I,2011,Partial Modernization,Eastern HS,-76.9886668,38.8921729,6,Maury Elementary
435,DCPS,151 T St NE,340,MS,62000,15000000,NA,15000000,,202,5,119,31,0.589108911,0.153465347,0.024752475,307,44117.64706,241.9354839,1,Full,2014,Full Modernization,Dunbar HS,-77.004889,38.9145641,5,McKinley Middle
458,DCPS,151 T St NE,1160,HS,282200,77382544,0,77443210,,645,6,239,12,0.370542636,0.018604651,0.009302326,438,66709.08966,274.211708,1,Full,2004,Full Modernization,City-Wide,-77.004889,38.9145641,5,McKinley Technology High
