Agency,School,SCHOOLCODE,Address,maxOccupancy,Enroll.Cap,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,LON,LAT,WARD,FeederMS,FeederMSNum,FeederHS,FeederHSNum,Total.Enrolled,Limited.English.Proficient,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerEnroll,SpentPerSqFt,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget
DCPS,Powell Elementary School,300,1350 Upshur St  NW,304,436,Full,2016,ES,76848,FULL MOD + ADD,25490976,2504026,44744174,-77.03122742,38.94153401,4,Col Hts. Ed. Campus (6-8),14,Cardozo EC (6-12),7,446,250,202,57,0.452914798,0.127802691,0.560538117,172.3049327,57154.65471,331.7064335,25490976,2504026,44744174
DCPS,Raymond Education Campus,302,915 Spring Rd  NW,615,615,Phase 0,NA,ES/MS,73600,STABILIZED,0,19567000,19567000,-77.02643266,38.93581087,4,noMiddleSchool,,Roosevelt HS,3,581,245,308,96,0.530120482,0.165232358,0.421686747,126.6781411,0,0,0,19567000,19567000
DCPS,Ross Elementary School,305,1730 R St  NW,176,176,Phase I,2012,ES,22400,PARTIAL MOD,2604666,0,2612974,-77.03966215,38.91239081,2,Cardozo EC (6-8),7,Cardozo EC (9-12),7,166,28,10,5,0.060240964,0.030120482,0.168674699,134.939759,15690.75904,116.2797321,2604666,0,2612974
DCPS,Savoy Elementary School,307,2400 Shannon Pl SE,430,430,Full,2009,ES,86800,FULL MOD + ADD,21059646,0,21059646,-76.99360426,38.86285165,8,Kramer MS,12,Anacostia HS,4,408,4,333,51,0.816176471,0.125,0.009803922,212.745098,51616.77941,242.6226498,21059646,0,21059646
DCPS,Seaton Elementary School,309,1503 10th St  NW,325,325,Phase I,2011,ES,65000,PARTIAL MOD,4298925,0,4302057,-77.02488247,38.91061836,6,Cardozo EC (6-8),7,Cardozo EC (9-12),7,295,125,148,32,0.501694915,0.108474576,0.423728814,220.3389831,14572.62712,66.13730769,4298925,0,4302057
DCPS,Shepherd Elementary School,313,7800 14th St  NW,400,400,Phase I,2016,ES,79696,FULL MOD + ADD,20462934,1274389,31576280,-77.03399523,38.98460295,4,Hardy MS,8,Wilson HS,2,318,6,59,39,0.185534591,0.122641509,0.018867925,250.6163522,64348.84906,256.762372,20462934,1274389,31576280
DCPS,Simon Elementary School,315,401 Mississippi Ave  SE,325,325,Phase I,2012,ES,66192,PARTIAL MOD,8505311,0,8672620,-77.000195,38.8359802,8,Hart MS,10,Ballou HS,8,293,2,227,38,0.774744027,0.129692833,0.006825939,225.9112628,29028.36519,128.4945462,8505311,0,8672620
DCPS,Smothers Elementary School,322,4400 Brooks St  NE,344,344,Phase 0,NA,ES,43000,STABILIZED,152322,12679000,12831322,-76.93846864,38.8935537,7,Kelly Miller MS,1,Woodson HS,1,275,6,203,30,0.738181818,0.109090909,0.021818182,156.3636364,553.8981818,3.542372093,152322,12679000,12831322
DCPS,Stanton Elementary School,319,2701 Naylor Rd  SE,586,586,Full,2016,ES,95000,FULL MOD + ADD,23307939,2165644,36035000,-76.96849023,38.85927177,8,Kramer MS,12,Anacostia HS,4,578,0,502,94,0.868512111,0.162629758,0,164.3598616,40325.15398,245.3467263,23307939,2165644,36035000
DCPS,Stoddert Elementary School,321,4001 Calvert St  NW,320,474,Full,2010,ES,65200,FULL MOD + ADD,18707417,0,18707417,-77.0790738,38.92304431,3,Hardy MS,8,Wilson HS,2,418,72,18,15,0.043062201,0.035885167,0.172248804,155.9808612,44754.58612,286.9235736,18707417,0,18707417
DCPS,Takoma Education Campus,324,7010 Piney Branch Rd  NW,450,450,Full,2012,ES/MS,118992,FULL MOD,26979598,0,27036559,-77.02279493,38.97504254,4,noMiddleSchool,,Coolidge HS,9,442,113,189,70,0.42760181,0.158371041,0.255656109,269.2126697,61039.81448,226.7345536,26979598,0,27036559
DCPS,Thomas Elementary School,325,650 Anacostia Ave NE,474,474,Phase I,2013,ES,87600,PARTIAL MOD,7563320,0,7572071,-76.95211091,38.90127864,7,Kelly Miller MS,1,Woodson HS,1,408,6,295,44,0.723039216,0.107843137,0.014705882,214.7058824,18537.54902,86.33926941,7563320,0,7572071
DCPS,Thomson Elementary School,326,1200 L St  NW,320,320,Full,2006,ES,74992,FULL MOD + ADD,25521091,0,25521091,-77.02843003,38.903496,2,Jefferson Acad. MS,5,Eastern HS,5,272,141,124,40,0.455882353,0.147058824,0.518382353,275.7058824,93827.54044,340.3175139,25521091,0,25521091
DCPS,Truesdell Education Campus,327,800 Ingraham St  NW,542,542,Phase I,2010,ES/MS,69600,PARTIAL MOD,4465045,7489000,11954045,-77.02507158,38.95396836,4,noMiddleSchool,3,Roosevelt HS,3,526,239,290,104,0.551330798,0.197718631,0.454372624,132.3193916,8488.678707,64.1529454,4465045,7489000,11954045
DCPS,Tubman Elementary School,328,3101 13th St  NW,500,500,Phase I,2009,ES,66592,PARTIAL MOD,3644743,0,3644743,-77.0294433,38.92919824,1,Col Hts. Ed. Campus (6-8),14,Cardozo EC (9-12),7,498,167,302,69,0.606425703,0.138554217,0.335341365,133.7188755,7318.761044,54.73244534,3644743,0,3644743
DCPS,Turner Elementary School,329,3264 Stanton Rd SE,530,530,Full,2013,ES,101093,FULL MOD + ADD,27580545,0,27695424,-76.98030993,38.84763494,8,Johnson MS,9,Ballou HS,8,392,0,333,52,0.849489796,0.132653061,0,257.8903061,70358.53316,272.8234893,27580545,0,27695424
DCPS,Tyler Elementary School,330,1001 G St  SE,564,564,Phase I,2010,ES,69600,PARTIAL MOD,3750929,0,3750929,-76.99204166,38.88108402,6,Jefferson Acad. MS,5,Eastern HS,5,522,9,239,74,0.457854406,0.141762452,0.017241379,133.3333333,7185.687739,53.89265805,3750929,0,3750929
DCPS,Walker-Jones Education Campus,332,1125 New Jersey Ave NW,700,700,Full,2009,ES/MS,95000,FULL REPLACEMENT,40442253,0,40442253,-77.01391586,38.90419176,6,noMiddleSchool,,Dunbar HS,6,465,8,348,124,0.748387097,0.266666667,0.017204301,204.3010753,86972.5871,425.7079263,40442253,0,40442253
DCPS,Watkins Elementary School,333,420 12th St  SE,587,587,Phase 0,NA,ES,69296,STABILIZED,2675972,30313978,39400200,-76.98999677,38.88346667,6,Stuart-Hobson MS,11,Eastern HS,5,500,4,98,45,0.196,0.09,0.008,138.592,5351.944,38.61654352,2675972,30313978,39400200
DCPS,Wheatley Education Campus,335,1299 Neal St NE,500,500,Full,2009,ES/MS,86368,FULL MOD + ADD,42645563,0,42645768,-76.98850077,38.90411741,5,noMiddleSchool,,Dunbar HS,6,463,7,364,91,0.786177106,0.196544276,0.01511879,186.5399568,92107.04752,493.7657813,42645563,0,42645768
DCPS,Whittier Education Campus,338,6201 5th St  NW,520,520,Phase I,2013,ES/MS,71092,PARTIAL MOD + ADD,5208611,0,5241031,-77.0192386,38.96585694,4,noMiddleSchool,,Coolidge HS,9,350,38,214,74,0.611428571,0.211428571,0.108571429,203.12,14881.74571,73.26578237,5208611,0,5241031
DCPS,Hearst Elementary School,258,3950 37th St  NW,330,330,Full,2015,ES,62309,FULL MOD + ADD,35678706,361277,43433519,-77.07195522,38.94072231,3,Deal MS,2,Wilson HS,2,291,28,39,25,0.134020619,0.085910653,0.096219931,214.1202749,122607.2371,572.6091897,35678706,361277,43433519
DCPS,West Education Campus,336,1338 Farragut St  NW,278,278,Phase 0,NA,ES/MS,69642,STABILIZED,0,35095000,35095000,-77.03225306,38.95136708,4,noMiddleSchool,,Roosevelt HS,3,267,27,112,44,0.419475655,0.164794007,0.101123596,260.8314607,0,0,0,35095000,35095000
DCPS,Van Ness ES,331,NA,NA,NA,Full,2016,ES,49400,FULL MOD + ADD,10556642,17995000,32448396,-76.99914,38.87675,6,Jefferson Acad. MS,5,Eastern HS,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.6972065,10556642,17995000,32448396
DCPS,Amidon-Bowen Elementary School,203,401 Eye St  SW,400,400,Phase I,2012,ES,70800,PARTIAL MOD,5993305,0,5993305,-77.0181253,38.87951507,6,Jefferson Acad. MS,5,Eastern HS,5,345,6,254,90,0.736231884,0.260869565,0.017391304,205.2173913,17371.89855,84.65120056,5993305,0,5993305
DCPS,Anacostia High School,450,1601 16th St  SE,837,837,Full,2012,HS,204992,FULL MOD,68228069,0,68860993,-76.98307725,38.87008373,8,,,,,661,0,586,186,0.886535552,0.281391831,0,310.1240545,103219.469,332.8328374,68228069,0,68860993
DCPS,Coolidge High School,455,6315 5th St  NW,1105,1105,Phase 0,NA,HS,271300,STABILIZED,2537691,116633000,122176717,-77.01957825,38.96728422,4,,,,,395,50,301,104,0.762025316,0.263291139,0.126582278,686.835443,6424.534177,9.353818651,2537691,116633000,122176717
DCPS,Deal Middle School,405,3815 Fort Dr  NW,1370,1570,Full,2014,MS,223689,FULL MOD + ADD,73524856,0,74154641,-77.07519907,38.95289641,3,,2,Wilson HS,2,1312,47,99,166,0.075457317,0.12652439,0.035823171,170.4946646,56040.28659,328.6923184,73524856,0,74154641
DCPS,Eastern High School,457,1700 East Capitol St NE,1100,1100,Full,2010,HS,310721,FULL MOD,74502874,0,74503071,-76.97968429,38.89040233,6,,,,,1025,3,714,296,0.696585366,0.288780488,0.002926829,303.142439,72685.73073,239.7741833,74502874,0,74503071
DCPS,Eliot-Hine Middle School,407,1830 Constitution Ave  NE,742,742,Phase 0,NA,MS,155072,STABILIZED,210957,40911043,42653975,-76.97897792,38.89243116,6,,15,Eastern HS,5,257,2,161,63,0.626459144,0.245136187,0.007782101,603.3929961,820.844358,1.360380984,210957,40911043,42653975
DCPS,Ellington School of the Arts,471,2501 11th St NW,NA,NA,Full,2017,ART,167500,FULL MOD + ADD,34081441,61688778,180437856,-77.07030757,38.91344604,2,,,,,523,5,175,25,0.334608031,0.047801147,0.009560229,320.2676864,65165.27916,203.4712896,34081441,61688778,180437856
DCPS,Francis-Stevens Education Campus,409,2425 N St  NW,437,437,Phase 0,NA,ES/MS,95088,STABILIZED,1314689,20178000,22278000,-77.052321,38.90746917,2,noMiddleSchool,,Cardozo EC (9-12),7,414,25,109,58,0.263285024,0.140096618,0.060386473,229.6811594,3175.577295,13.82602431,1314689,20178000,22278000
